size;duration;mean;reps
5920;215;4.3;50
5940;218;4.36;50
5960;211;4.22;50
5980;218;4.36;50
6000;212;4.24;50
6020;214;4.28;50
6040;222;4.44;50
6060;214;4.28;50
6080;218;4.36;50
6100;216;4.32;50
6120;222;4.44;50
6140;224;4.48;50
6160;221;4.42;50
6180;224;4.48;50
6200;222;4.44;50
6220;220;4.4;50
6240;223;4.46;50
6260;222;4.44;50
6280;225;4.5;50
6300;225;4.5;50
6320;226;4.52;50
6340;231;4.62;50
6360;231;4.62;50
6380;231;4.62;50
6400;232;4.64;50
6420;233;4.66;50
6440;229;4.58;50
6460;229;4.58;50
6480;231;4.62;50
6500;233;4.66;50
6520;230;4.6;50
6540;233;4.66;50
6560;237;4.74;50
6580;238;4.76;50
6600;235;4.7;50
6620;237;4.74;50
6640;241;4.82;50
6660;238;4.76;50
6680;240;4.8;50
6700;242;4.84;50
6720;243;4.86;50
6740;240;4.8;50
6760;243;4.86;50
6780;241;4.82;50
6800;250;5;50
6820;246;4.92;50
6840;245;4.9;50
6860;251;5.02;50
6880;248;4.96;50
6900;252;5.04;50
6920;250;5;50
6940;255;5.1;50
6960;251;5.02;50
6980;252;5.04;50
7000;251;5.02;50
7020;252;5.04;50
7040;257;5.14;50
7060;253;5.06;50
7080;254;5.08;50
7100;257;5.14;50
7120;252;5.04;50
7140;257;5.14;50
7160;257;5.14;50
7180;255;5.1;50
7200;256;5.12;50
7220;256;5.12;50
7240;259;5.18;50
7260;261;5.22;50
7280;264;5.28;50
7300;261;5.22;50
7320;259;5.18;50
7340;268;5.36;50
7360;267;5.34;50
7380;271;5.42;50
7400;260;5.2;50
7420;270;5.4;50
7440;266;5.32;50
7460;271;5.42;50
7480;265;5.3;50
7500;269;5.38;50
7520;271;5.42;50
7540;266;5.32;50
7560;272;5.44;50
7580;272;5.44;50
7600;267;5.34;50
7620;271;5.42;50
7640;275;5.5;50
7660;278;5.56;50
7680;276;5.52;50
7700;280;5.6;50
7720;279;5.58;50
7740;278;5.56;50
7760;276;5.52;50
7780;282;5.64;50
7800;285;5.7;50
7820;283;5.66;50
7840;285;5.7;50
7860;289;5.78;50
7880;287;5.74;50
7900;283;5.66;50
7920;285;5.7;50
7940;290;5.8;50
7960;288;5.76;50
7980;281;5.62;50
8000;284;5.68;50
8020;289;5.78;50
8040;289;5.78;50
8060;289;5.78;50
8080;290;5.8;50
8100;292;5.84;50
8120;295;5.9;50
8140;295;5.9;50
8160;291;5.82;50
8180;293;5.86;50
8200;301;6.02;50
8220;302;6.04;50
8240;292;5.84;50
8260;294;5.88;50
8280;295;5.9;50
8300;300;6;50
8320;300;6;50
8340;302;6.04;50
8360;307;6.14;50
8380;298;5.96;50
8400;307;6.14;50
8420;310;6.2;50
8440;304;6.08;50
8460;303;6.06;50
8480;305;6.1;50
8500;306;6.12;50
8520;312;6.24;50
8540;299;5.98;50
8560;308;6.16;50
8580;308;6.16;50
8600;315;6.3;50
8620;304;6.08;50
8640;307;6.14;50
8660;302;6.04;50
8680;300;6;50
8700;301;6.02;50
8720;312;6.24;50
8740;308;6.16;50
8760;303;6.06;50
8780;312;6.24;50
8800;319;6.38;50
8820;311;6.22;50
8840;333;6.66;50
8860;337;6.74;50
8880;326;6.52;50
8900;325;6.5;50
8920;322;6.44;50
8940;325;6.5;50
8960;325;6.5;50
8980;345;6.9;50
9000;343;6.86;50
9020;327;6.54;50
9040;340;6.8;50
9060;339;6.78;50
9080;341;6.82;50
9100;341;6.82;50
9120;340;6.8;50
9140;340;6.8;50
9160;341;6.82;50
9180;334;6.68;50
9200;337;6.74;50
9220;351;7.02;50
9240;352;7.04;50
9260;330;6.6;50
9280;349;6.98;50
9300;351;7.02;50
9320;342;6.84;50
9340;362;7.24;50
9360;357;7.14;50
9380;356;7.12;50
9400;349;6.98;50
9420;349;6.98;50
9440;361;7.22;50
9460;343;6.86;50
9480;356;7.12;50
9500;357;7.14;50
9520;358;7.16;50
