Size; Duration;Mean;Median;Min;Max
0;52.447333;52.447333;52.447333;52.447333;0.000000
1;33.360208;33.360208;33.360208;33.360208;0.000000
2;17.316375;17.316375;17.316375;17.316375;0.000000
3;7.607417;7.607417;7.607417;7.607417;0.000000
4;5.911208;5.911208;5.911208;5.911208;0.000000
5;4.888125;4.888125;4.888125;4.888125;0.000000
6;2.463209;2.463209;2.463209;2.463209;0.000000
7;2.164375;2.164375;2.164375;2.164375;0.000000
8;1.258166;1.258166;1.258166;1.258166;0.000000
9;1.132417;1.132417;1.132417;1.132417;0.000000
10;0.964459;0.964459;0.964459;0.964459;0.000000
11;0.858958;0.858958;0.858958;0.858958;0.000000
12;0.831709;0.831709;0.831709;0.831709;0.000000
13;0.916084;0.916084;0.916084;0.916084;0.000000
14;0.860000;0.860000;0.860000;0.860000;0.000000
15;0.861292;0.861292;0.861292;0.861292;0.000000
16;0.947542;0.947542;0.947542;0.947542;0.000000
17;0.938000;0.938000;0.938000;0.938000;0.000000
18;0.903667;0.903667;0.903667;0.903667;0.000000
19;0.929750;0.929750;0.929750;0.929750;0.000000
20;0.944250;0.944250;0.944250;0.944250;0.000000
21;0.871417;0.871417;0.871417;0.871417;0.000000
22;0.920541;0.920541;0.920541;0.920541;0.000000
23;0.929292;0.929292;0.929292;0.929292;0.000000
24;0.884042;0.884042;0.884042;0.884042;0.000000
25;0.918458;0.918458;0.918458;0.918458;0.000000
26;0.924208;0.924208;0.924208;0.924208;0.000000
27;0.939958;0.939958;0.939958;0.939958;0.000000
28;0.880459;0.880459;0.880459;0.880459;0.000000
29;0.902625;0.902625;0.902625;0.902625;0.000000
30;1.003834;1.003834;1.003834;1.003834;0.000000
31;0.982208;0.982208;0.982208;0.982208;0.000000
32;0.921541;0.921541;0.921541;0.921541;0.000000
33;0.937541;0.937541;0.937541;0.937541;0.000000
34;0.995458;0.995458;0.995458;0.995458;0.000000
35;0.981542;0.981542;0.981542;0.981542;0.000000
36;0.970916;0.970916;0.970916;0.970916;0.000000
37;1.012084;1.012084;1.012084;1.012084;0.000000
38;0.981500;0.981500;0.981500;0.981500;0.000000
39;1.010333;1.010333;1.010333;1.010333;0.000000
