Size; Duration;Mean;Median;Min;Max
0;3948.409250;3948.409250;3948.409250;3948.409250;0.000000
1;2230.665250;2230.665250;2230.665250;2230.665250;0.000000
2;1044.180833;1044.180833;1044.180833;1044.180833;0.000000
3;678.146209;678.146209;678.146209;678.146209;0.000000
4;276.021416;276.021416;276.021416;276.021416;0.000000
5;220.368458;220.368458;220.368458;220.368458;0.000000
6;143.708000;143.708000;143.708000;143.708000;0.000000
7;117.782708;117.782708;117.782708;117.782708;0.000000
8;124.860291;124.860291;124.860291;124.860291;0.000000
9;44.728833;44.728833;44.728833;44.728833;0.000000
10;19.633208;19.633208;19.633208;19.633208;0.000000
11;11.165125;11.165125;11.165125;11.165125;0.000000
12;9.085875;9.085875;9.085875;9.085875;0.000000
13;6.831375;6.831375;6.831375;6.831375;0.000000
14;6.338166;6.338166;6.338166;6.338166;0.000000
15;5.565875;5.565875;5.565875;5.565875;0.000000
16;5.345334;5.345334;5.345334;5.345334;0.000000
17;5.417000;5.417000;5.417000;5.417000;0.000000
18;5.471958;5.471958;5.471958;5.471958;0.000000
19;5.293417;5.293417;5.293417;5.293417;0.000000
20;5.213459;5.213459;5.213459;5.213459;0.000000
21;5.159542;5.159542;5.159542;5.159542;0.000000
22;4.929250;4.929250;4.929250;4.929250;0.000000
23;5.173458;5.173458;5.173458;5.173458;0.000000
24;5.207208;5.207208;5.207208;5.207208;0.000000
25;5.234750;5.234750;5.234750;5.234750;0.000000
26;5.197958;5.197958;5.197958;5.197958;0.000000
27;5.396875;5.396875;5.396875;5.396875;0.000000
28;5.001084;5.001084;5.001084;5.001084;0.000000
29;5.146375;5.146375;5.146375;5.146375;0.000000
30;5.155292;5.155292;5.155292;5.155292;0.000000
31;5.207084;5.207084;5.207084;5.207084;0.000000
32;5.204042;5.204042;5.204042;5.204042;0.000000
33;5.208625;5.208625;5.208625;5.208625;0.000000
34;5.123583;5.123583;5.123583;5.123583;0.000000
35;5.094208;5.094208;5.094208;5.094208;0.000000
36;5.198708;5.198708;5.198708;5.198708;0.000000
37;5.141750;5.141750;5.141750;5.141750;0.000000
38;5.023708;5.023708;5.023708;5.023708;0.000000
39;5.181833;5.181833;5.181833;5.181833;0.000000
