Size; Duration;Mean;Median;Min;Max
0;14.149209;14.149209;14.149209;14.149209;0.000000
1;14.013750;14.013750;14.013750;14.013750;0.000000
2;14.522916;14.522916;14.522916;14.522916;0.000000
3;13.476750;13.476750;13.476750;13.476750;0.000000
4;15.533958;15.533958;15.533958;15.533958;0.000000
5;13.343709;13.343709;13.343709;13.343709;0.000000
6;12.766458;12.766458;12.766458;12.766458;0.000000
7;12.459459;12.459459;12.459459;12.459459;0.000000
8;11.064125;11.064125;11.064125;11.064125;0.000000
9;10.854291;10.854291;10.854291;10.854291;0.000000
10;11.136250;11.136250;11.136250;11.136250;0.000000
11;10.138917;10.138917;10.138917;10.138917;0.000000
12;10.120875;10.120875;10.120875;10.120875;0.000000
13;10.283042;10.283042;10.283042;10.283042;0.000000
14;9.802333;9.802333;9.802333;9.802333;0.000000
15;9.668125;9.668125;9.668125;9.668125;0.000000
16;9.450042;9.450042;9.450042;9.450042;0.000000
17;9.309000;9.309000;9.309000;9.309000;0.000000
18;9.151334;9.151334;9.151334;9.151334;0.000000
19;8.935334;8.935334;8.935334;8.935334;0.000000
20;9.660334;9.660334;9.660334;9.660334;0.000000
21;9.077333;9.077333;9.077333;9.077333;0.000000
22;9.358042;9.358042;9.358042;9.358042;0.000000
23;9.204209;9.204209;9.204209;9.204209;0.000000
24;9.140292;9.140292;9.140292;9.140292;0.000000
25;8.803042;8.803042;8.803042;8.803042;0.000000
26;8.639958;8.639958;8.639958;8.639958;0.000000
27;8.743625;8.743625;8.743625;8.743625;0.000000
28;8.492708;8.492708;8.492708;8.492708;0.000000
29;8.443208;8.443208;8.443208;8.443208;0.000000
30;8.659500;8.659500;8.659500;8.659500;0.000000
31;8.501333;8.501333;8.501333;8.501333;0.000000
32;9.132292;9.132292;9.132292;9.132292;0.000000
33;9.127042;9.127042;9.127042;9.127042;0.000000
34;8.849875;8.849875;8.849875;8.849875;0.000000
35;8.844333;8.844333;8.844333;8.844333;0.000000
36;8.777833;8.777833;8.777833;8.777833;0.000000
37;8.600875;8.600875;8.600875;8.600875;0.000000
38;8.782000;8.782000;8.782000;8.782000;0.000000
39;8.932292;8.932292;8.932292;8.932292;0.000000
