Size; Duration;Mean;Median;Min;Max
0;2.443833;2.443833;2.443833;2.443833;0.000000
1;2.029333;2.029333;2.029333;2.029333;0.000000
2;1.932292;1.932292;1.932292;1.932292;0.000000
3;1.990375;1.990375;1.990375;1.990375;0.000000
4;1.516375;1.516375;1.516375;1.516375;0.000000
5;1.360375;1.360375;1.360375;1.360375;0.000000
6;1.035959;1.035959;1.035959;1.035959;0.000000
7;0.777084;0.777084;0.777084;0.777084;0.000000
8;0.694000;0.694000;0.694000;0.694000;0.000000
9;0.691000;0.691000;0.691000;0.691000;0.000000
10;0.672750;0.672750;0.672750;0.672750;0.000000
11;0.664125;0.664125;0.664125;0.664125;0.000000
12;0.680334;0.680334;0.680334;0.680334;0.000000
13;0.623542;0.623542;0.623542;0.623542;0.000000
14;0.483875;0.483875;0.483875;0.483875;0.000000
15;0.469791;0.469791;0.469791;0.469791;0.000000
16;0.467000;0.467000;0.467000;0.467000;0.000000
17;0.449917;0.449917;0.449917;0.449917;0.000000
18;0.450791;0.450791;0.450791;0.450791;0.000000
19;0.435708;0.435708;0.435708;0.435708;0.000000
20;0.433917;0.433917;0.433917;0.433917;0.000000
21;0.433375;0.433375;0.433375;0.433375;0.000000
22;0.405375;0.405375;0.405375;0.405375;0.000000
23;0.419458;0.419458;0.419458;0.419458;0.000000
24;0.411667;0.411667;0.411667;0.411667;0.000000
25;0.410000;0.410000;0.410000;0.410000;0.000000
26;0.413500;0.413500;0.413500;0.413500;0.000000
27;0.413959;0.413959;0.413959;0.413959;0.000000
28;0.412958;0.412958;0.412958;0.412958;0.000000
29;0.404208;0.404208;0.404208;0.404208;0.000000
30;0.394375;0.394375;0.394375;0.394375;0.000000
31;0.416291;0.416291;0.416291;0.416291;0.000000
32;0.422958;0.422958;0.422958;0.422958;0.000000
33;0.409000;0.409000;0.409000;0.409000;0.000000
34;0.423167;0.423167;0.423167;0.423167;0.000000
35;0.403583;0.403583;0.403583;0.403583;0.000000
36;0.409333;0.409333;0.409333;0.409333;0.000000
37;0.404292;0.404292;0.404292;0.404292;0.000000
38;0.425542;0.425542;0.425542;0.425542;0.000000
39;0.402000;0.402000;0.402000;0.402000;0.000000
