Size; Duration;Mean;Median;Min;Max
0;10182.915250;10182.915250;10182.915250;10182.915250;0.000000
1;5542.512042;5542.512042;5542.512042;5542.512042;0.000000
2;3201.780584;3201.780584;3201.780584;3201.780584;0.000000
3;1755.535167;1755.535167;1755.535167;1755.535167;0.000000
4;1554.225167;1554.225167;1554.225167;1554.225167;0.000000
5;607.601083;607.601083;607.601083;607.601083;0.000000
6;521.859708;521.859708;521.859708;521.859708;0.000000
7;186.120959;186.120959;186.120959;186.120959;0.000000
8;120.404166;120.404166;120.404166;120.404166;0.000000
9;80.159583;80.159583;80.159583;80.159583;0.000000
10;38.516959;38.516959;38.516959;38.516959;0.000000
11;25.226708;25.226708;25.226708;25.226708;0.000000
12;37.803292;37.803292;37.803292;37.803292;0.000000
13;18.065834;18.065834;18.065834;18.065834;0.000000
14;10.631000;10.631000;10.631000;10.631000;0.000000
15;10.041042;10.041042;10.041042;10.041042;0.000000
16;8.820541;8.820541;8.820541;8.820541;0.000000
17;8.950084;8.950084;8.950084;8.950084;0.000000
18;8.535833;8.535833;8.535833;8.535833;0.000000
19;8.514667;8.514667;8.514667;8.514667;0.000000
20;8.360375;8.360375;8.360375;8.360375;0.000000
21;8.844833;8.844833;8.844833;8.844833;0.000000
22;8.651834;8.651834;8.651834;8.651834;0.000000
23;8.113625;8.113625;8.113625;8.113625;0.000000
24;8.426792;8.426792;8.426792;8.426792;0.000000
25;8.283625;8.283625;8.283625;8.283625;0.000000
26;8.255708;8.255708;8.255708;8.255708;0.000000
27;8.388000;8.388000;8.388000;8.388000;0.000000
28;8.785333;8.785333;8.785333;8.785333;0.000000
29;8.362542;8.362542;8.362542;8.362542;0.000000
30;8.205709;8.205709;8.205709;8.205709;0.000000
31;9.057708;9.057708;9.057708;9.057708;0.000000
32;8.363458;8.363458;8.363458;8.363458;0.000000
33;8.724167;8.724167;8.724167;8.724167;0.000000
34;8.516875;8.516875;8.516875;8.516875;0.000000
35;8.684750;8.684750;8.684750;8.684750;0.000000
36;8.483958;8.483958;8.483958;8.483958;0.000000
37;8.741500;8.741500;8.741500;8.741500;0.000000
38;8.646791;8.646791;8.646791;8.646791;0.000000
39;8.941875;8.941875;8.941875;8.941875;0.000000
