Size; Duration;Mean;Median;Min;Max
0;7.602000;7.602000;7.602000;7.602000;0.000000
1;7.226500;7.226500;7.226500;7.226500;0.000000
2;6.899500;6.899500;6.899500;6.899500;0.000000
3;6.759042;6.759042;6.759042;6.759042;0.000000
4;6.571958;6.571958;6.571958;6.571958;0.000000
5;6.461250;6.461250;6.461250;6.461250;0.000000
6;6.402333;6.402333;6.402333;6.402333;0.000000
7;6.321875;6.321875;6.321875;6.321875;0.000000
8;5.976292;5.976292;5.976292;5.976292;0.000000
9;5.998834;5.998834;5.998834;5.998834;0.000000
10;5.709750;5.709750;5.709750;5.709750;0.000000
11;5.466167;5.466167;5.466167;5.466167;0.000000
12;5.249917;5.249917;5.249917;5.249917;0.000000
13;5.243500;5.243500;5.243500;5.243500;0.000000
14;5.079083;5.079083;5.079083;5.079083;0.000000
15;5.080917;5.080917;5.080917;5.080917;0.000000
16;4.995125;4.995125;4.995125;4.995125;0.000000
17;5.055000;5.055000;5.055000;5.055000;0.000000
18;4.759834;4.759834;4.759834;4.759834;0.000000
19;4.881125;4.881125;4.881125;4.881125;0.000000
20;4.563500;4.563500;4.563500;4.563500;0.000000
21;4.829375;4.829375;4.829375;4.829375;0.000000
22;4.658334;4.658334;4.658334;4.658334;0.000000
23;4.623666;4.623666;4.623666;4.623666;0.000000
24;4.664875;4.664875;4.664875;4.664875;0.000000
25;4.480750;4.480750;4.480750;4.480750;0.000000
26;4.685709;4.685709;4.685709;4.685709;0.000000
27;4.805125;4.805125;4.805125;4.805125;0.000000
28;4.788416;4.788416;4.788416;4.788416;0.000000
29;4.678792;4.678792;4.678792;4.678792;0.000000
30;4.636083;4.636083;4.636083;4.636083;0.000000
31;4.770209;4.770209;4.770209;4.770209;0.000000
32;4.562042;4.562042;4.562042;4.562042;0.000000
33;4.503875;4.503875;4.503875;4.503875;0.000000
34;4.651667;4.651667;4.651667;4.651667;0.000000
35;4.791292;4.791292;4.791292;4.791292;0.000000
36;4.688041;4.688041;4.688041;4.688041;0.000000
37;4.540083;4.540083;4.540083;4.540083;0.000000
38;4.807666;4.807666;4.807666;4.807666;0.000000
39;4.970917;4.970917;4.970917;4.970917;0.000000
