Size; Duration;Mean;Median;Min;Max
0;6.987500;6.987500;6.987500;6.987500;0.000000
1;6.483166;6.483166;6.483166;6.483166;0.000000
2;6.421625;6.421625;6.421625;6.421625;0.000000
3;6.143750;6.143750;6.143750;6.143750;0.000000
4;5.852083;5.852083;5.852083;5.852083;0.000000
5;5.619250;5.619250;5.619250;5.619250;0.000000
6;5.540291;5.540291;5.540291;5.540291;0.000000
7;5.440709;5.440709;5.440709;5.440709;0.000000
8;5.256667;5.256667;5.256667;5.256667;0.000000
9;5.246167;5.246167;5.246167;5.246167;0.000000
10;5.309875;5.309875;5.309875;5.309875;0.000000
11;5.385000;5.385000;5.385000;5.385000;0.000000
12;5.121833;5.121833;5.121833;5.121833;0.000000
13;4.946625;4.946625;4.946625;4.946625;0.000000
14;4.934417;4.934417;4.934417;4.934417;0.000000
15;4.867959;4.867959;4.867959;4.867959;0.000000
16;4.796208;4.796208;4.796208;4.796208;0.000000
17;4.943375;4.943375;4.943375;4.943375;0.000000
18;4.643208;4.643208;4.643208;4.643208;0.000000
19;4.268834;4.268834;4.268834;4.268834;0.000000
20;4.119375;4.119375;4.119375;4.119375;0.000000
21;4.239459;4.239459;4.239459;4.239459;0.000000
22;4.082041;4.082041;4.082041;4.082041;0.000000
23;4.240708;4.240708;4.240708;4.240708;0.000000
24;3.990750;3.990750;3.990750;3.990750;0.000000
25;3.972083;3.972083;3.972083;3.972083;0.000000
26;3.972167;3.972167;3.972167;3.972167;0.000000
27;4.020250;4.020250;4.020250;4.020250;0.000000
28;4.244583;4.244583;4.244583;4.244583;0.000000
29;4.156084;4.156084;4.156084;4.156084;0.000000
30;4.075542;4.075542;4.075542;4.075542;0.000000
31;4.220333;4.220333;4.220333;4.220333;0.000000
32;4.123125;4.123125;4.123125;4.123125;0.000000
33;4.133750;4.133750;4.133750;4.133750;0.000000
34;4.043708;4.043708;4.043708;4.043708;0.000000
35;3.914250;3.914250;3.914250;3.914250;0.000000
36;3.965333;3.965333;3.965333;3.965333;0.000000
37;4.050583;4.050583;4.050583;4.050583;0.000000
38;4.184667;4.184667;4.184667;4.184667;0.000000
39;3.920583;3.920583;3.920583;3.920583;0.000000
