Size; Duration;Mean;Median;Min;Max
0;3220.113417;3220.113417;3220.113417;3220.113417;0.000000
1;1905.231166;1905.231166;1905.231166;1905.231166;0.000000
2;909.034166;909.034166;909.034166;909.034166;0.000000
3;857.643834;857.643834;857.643834;857.643834;0.000000
4;474.193917;474.193917;474.193917;474.193917;0.000000
5;201.759000;201.759000;201.759000;201.759000;0.000000
6;105.335500;105.335500;105.335500;105.335500;0.000000
7;53.786583;53.786583;53.786583;53.786583;0.000000
8;41.959500;41.959500;41.959500;41.959500;0.000000
9;31.386375;31.386375;31.386375;31.386375;0.000000
10;19.092792;19.092792;19.092792;19.092792;0.000000
11;13.308292;13.308292;13.308292;13.308292;0.000000
12;6.934667;6.934667;6.934667;6.934667;0.000000
13;6.174458;6.174458;6.174458;6.174458;0.000000
14;5.444375;5.444375;5.444375;5.444375;0.000000
15;5.284167;5.284167;5.284167;5.284167;0.000000
16;4.661542;4.661542;4.661542;4.661542;0.000000
17;4.761500;4.761500;4.761500;4.761500;0.000000
18;4.584292;4.584292;4.584292;4.584292;0.000000
19;4.485000;4.485000;4.485000;4.485000;0.000000
20;4.569167;4.569167;4.569167;4.569167;0.000000
21;4.825959;4.825959;4.825959;4.825959;0.000000
22;4.959375;4.959375;4.959375;4.959375;0.000000
23;4.806375;4.806375;4.806375;4.806375;0.000000
24;4.791667;4.791667;4.791667;4.791667;0.000000
25;4.584000;4.584000;4.584000;4.584000;0.000000
26;4.555625;4.555625;4.555625;4.555625;0.000000
27;4.615084;4.615084;4.615084;4.615084;0.000000
28;4.744667;4.744667;4.744667;4.744667;0.000000
29;4.552167;4.552167;4.552167;4.552167;0.000000
30;4.585417;4.585417;4.585417;4.585417;0.000000
31;4.684291;4.684291;4.684291;4.684291;0.000000
32;4.316667;4.316667;4.316667;4.316667;0.000000
33;4.556791;4.556791;4.556791;4.556791;0.000000
34;4.683959;4.683959;4.683959;4.683959;0.000000
35;4.721084;4.721084;4.721084;4.721084;0.000000
36;4.528875;4.528875;4.528875;4.528875;0.000000
37;4.559625;4.559625;4.559625;4.559625;0.000000
38;4.600334;4.600334;4.600334;4.600334;0.000000
39;4.580750;4.580750;4.580750;4.580750;0.000000
