Size; Duration;Mean;Median;Min;Max
0;8.411792;8.411792;8.411792;8.411792;0.000000
1;8.173292;8.173292;8.173292;8.173292;0.000000
2;8.130291;8.130291;8.130291;8.130291;0.000000
3;7.655375;7.655375;7.655375;7.655375;0.000000
4;7.431417;7.431417;7.431417;7.431417;0.000000
5;7.300916;7.300916;7.300916;7.300916;0.000000
6;7.081709;7.081709;7.081709;7.081709;0.000000
7;6.910291;6.910291;6.910291;6.910291;0.000000
8;6.750458;6.750458;6.750458;6.750458;0.000000
9;6.721083;6.721083;6.721083;6.721083;0.000000
10;6.342791;6.342791;6.342791;6.342791;0.000000
11;6.237834;6.237834;6.237834;6.237834;0.000000
12;6.177917;6.177917;6.177917;6.177917;0.000000
13;5.866000;5.866000;5.866000;5.866000;0.000000
14;6.154875;6.154875;6.154875;6.154875;0.000000
15;5.922250;5.922250;5.922250;5.922250;0.000000
16;5.638125;5.638125;5.638125;5.638125;0.000000
17;5.774667;5.774667;5.774667;5.774667;0.000000
18;5.511958;5.511958;5.511958;5.511958;0.000000
19;5.638583;5.638583;5.638583;5.638583;0.000000
20;5.161125;5.161125;5.161125;5.161125;0.000000
21;5.290375;5.290375;5.290375;5.290375;0.000000
22;5.419625;5.419625;5.419625;5.419625;0.000000
23;5.174291;5.174291;5.174291;5.174291;0.000000
24;5.279334;5.279334;5.279334;5.279334;0.000000
25;5.166875;5.166875;5.166875;5.166875;0.000000
26;5.233291;5.233291;5.233291;5.233291;0.000000
27;5.365042;5.365042;5.365042;5.365042;0.000000
28;5.100916;5.100916;5.100916;5.100916;0.000000
29;5.243584;5.243584;5.243584;5.243584;0.000000
30;5.054750;5.054750;5.054750;5.054750;0.000000
31;5.298083;5.298083;5.298083;5.298083;0.000000
32;5.349291;5.349291;5.349291;5.349291;0.000000
33;5.271250;5.271250;5.271250;5.271250;0.000000
34;5.083666;5.083666;5.083666;5.083666;0.000000
35;5.235250;5.235250;5.235250;5.235250;0.000000
36;5.301750;5.301750;5.301750;5.301750;0.000000
37;5.046792;5.046792;5.046792;5.046792;0.000000
38;5.334583;5.334583;5.334583;5.334583;0.000000
39;5.433166;5.433166;5.433166;5.433166;0.000000
