Size; Duration;Mean;Median;Min;Max
0;1904.613750;1904.613750;1904.613750;1904.613750;0.000000
1;1135.135042;1135.135042;1135.135042;1135.135042;0.000000
2;744.822666;744.822666;744.822666;744.822666;0.000000
3;687.396791;687.396791;687.396791;687.396791;0.000000
4;284.489125;284.489125;284.489125;284.489125;0.000000
5;93.903875;93.903875;93.903875;93.903875;0.000000
6;108.814042;108.814042;108.814042;108.814042;0.000000
7;59.714625;59.714625;59.714625;59.714625;0.000000
8;27.112125;27.112125;27.112125;27.112125;0.000000
9;15.363667;15.363667;15.363667;15.363667;0.000000
10;9.795875;9.795875;9.795875;9.795875;0.000000
11;8.696792;8.696792;8.696792;8.696792;0.000000
12;4.734666;4.734666;4.734666;4.734666;0.000000
13;4.211750;4.211750;4.211750;4.211750;0.000000
14;3.895959;3.895959;3.895959;3.895959;0.000000
15;3.672875;3.672875;3.672875;3.672875;0.000000
16;3.462041;3.462041;3.462041;3.462041;0.000000
17;3.666458;3.666458;3.666458;3.666458;0.000000
18;3.515250;3.515250;3.515250;3.515250;0.000000
19;3.482625;3.482625;3.482625;3.482625;0.000000
20;3.577291;3.577291;3.577291;3.577291;0.000000
21;3.493792;3.493792;3.493792;3.493792;0.000000
22;3.547958;3.547958;3.547958;3.547958;0.000000
23;3.479750;3.479750;3.479750;3.479750;0.000000
24;3.354125;3.354125;3.354125;3.354125;0.000000
25;3.566041;3.566041;3.566041;3.566041;0.000000
26;3.624625;3.624625;3.624625;3.624625;0.000000
27;3.573125;3.573125;3.573125;3.573125;0.000000
28;3.455584;3.455584;3.455584;3.455584;0.000000
29;3.417375;3.417375;3.417375;3.417375;0.000000
30;3.595625;3.595625;3.595625;3.595625;0.000000
31;3.520083;3.520083;3.520083;3.520083;0.000000
32;3.435458;3.435458;3.435458;3.435458;0.000000
33;3.373833;3.373833;3.373833;3.373833;0.000000
34;3.458417;3.458417;3.458417;3.458417;0.000000
35;3.586708;3.586708;3.586708;3.586708;0.000000
36;3.373167;3.373167;3.373167;3.373167;0.000000
37;3.483333;3.483333;3.483333;3.483333;0.000000
38;3.734583;3.734583;3.734583;3.734583;0.000000
39;3.640708;3.640708;3.640708;3.640708;0.000000
