Size; Duration;Mean;Median;Min;Max
0;6706.589667;6706.589667;6706.589667;6706.589667;0.000000
1;3400.208916;3400.208916;3400.208916;3400.208916;0.000000
2;2818.069667;2818.069667;2818.069667;2818.069667;0.000000
3;1388.752708;1388.752708;1388.752708;1388.752708;0.000000
4;815.853000;815.853000;815.853000;815.853000;0.000000
5;605.321083;605.321083;605.321083;605.321083;0.000000
6;290.152500;290.152500;290.152500;290.152500;0.000000
7;147.532708;147.532708;147.532708;147.532708;0.000000
8;90.213375;90.213375;90.213375;90.213375;0.000000
9;45.184584;45.184584;45.184584;45.184584;0.000000
10;45.517792;45.517792;45.517792;45.517792;0.000000
11;20.528250;20.528250;20.528250;20.528250;0.000000
12;14.904584;14.904584;14.904584;14.904584;0.000000
13;9.869416;9.869416;9.869416;9.869416;0.000000
14;8.768042;8.768042;8.768042;8.768042;0.000000
15;7.034042;7.034042;7.034042;7.034042;0.000000
16;7.527916;7.527916;7.527916;7.527916;0.000000
17;6.872792;6.872792;6.872792;6.872792;0.000000
18;6.960666;6.960666;6.960666;6.960666;0.000000
19;6.954417;6.954417;6.954417;6.954417;0.000000
20;6.999125;6.999125;6.999125;6.999125;0.000000
21;7.052708;7.052708;7.052708;7.052708;0.000000
22;7.076625;7.076625;7.076625;7.076625;0.000000
23;6.714500;6.714500;6.714500;6.714500;0.000000
24;6.737042;6.737042;6.737042;6.737042;0.000000
25;6.642125;6.642125;6.642125;6.642125;0.000000
26;6.693625;6.693625;6.693625;6.693625;0.000000
27;7.304542;7.304542;7.304542;7.304542;0.000000
28;6.882292;6.882292;6.882292;6.882292;0.000000
29;6.924250;6.924250;6.924250;6.924250;0.000000
30;7.147625;7.147625;7.147625;7.147625;0.000000
31;6.691750;6.691750;6.691750;6.691750;0.000000
32;6.848458;6.848458;6.848458;6.848458;0.000000
33;6.810625;6.810625;6.810625;6.810625;0.000000
34;6.690541;6.690541;6.690541;6.690541;0.000000
35;6.594250;6.594250;6.594250;6.594250;0.000000
36;6.709375;6.709375;6.709375;6.709375;0.000000
37;6.668708;6.668708;6.668708;6.668708;0.000000
38;7.051458;7.051458;7.051458;7.051458;0.000000
39;6.837834;6.837834;6.837834;6.837834;0.000000
