Size; Duration;Mean;Median;Min;Max
0;2.274792;2.274792;2.274792;2.274792;0.000000
1;2.254333;2.254333;2.254333;2.254333;0.000000
2;2.129709;2.129709;2.129709;2.129709;0.000000
3;2.062083;2.062083;2.062083;2.062083;0.000000
4;1.987500;1.987500;1.987500;1.987500;0.000000
5;2.019667;2.019667;2.019667;2.019667;0.000000
6;1.883750;1.883750;1.883750;1.883750;0.000000
7;1.833709;1.833709;1.833709;1.833709;0.000000
8;1.761250;1.761250;1.761250;1.761250;0.000000
9;1.798750;1.798750;1.798750;1.798750;0.000000
10;1.677583;1.677583;1.677583;1.677583;0.000000
11;1.778917;1.778917;1.778917;1.778917;0.000000
12;1.619750;1.619750;1.619750;1.619750;0.000000
13;1.650584;1.650584;1.650584;1.650584;0.000000
14;1.699667;1.699667;1.699667;1.699667;0.000000
15;1.695250;1.695250;1.695250;1.695250;0.000000
16;1.537166;1.537166;1.537166;1.537166;0.000000
17;1.543834;1.543834;1.543834;1.543834;0.000000
18;1.525667;1.525667;1.525667;1.525667;0.000000
19;1.492666;1.492666;1.492666;1.492666;0.000000
20;1.437000;1.437000;1.437000;1.437000;0.000000
21;1.430458;1.430458;1.430458;1.430458;0.000000
22;1.424791;1.424791;1.424791;1.424791;0.000000
23;1.381833;1.381833;1.381833;1.381833;0.000000
24;1.446084;1.446084;1.446084;1.446084;0.000000
25;1.457625;1.457625;1.457625;1.457625;0.000000
26;1.468042;1.468042;1.468042;1.468042;0.000000
27;1.425500;1.425500;1.425500;1.425500;0.000000
28;1.419583;1.419583;1.419583;1.419583;0.000000
29;1.365875;1.365875;1.365875;1.365875;0.000000
30;1.409250;1.409250;1.409250;1.409250;0.000000
31;1.458000;1.458000;1.458000;1.458000;0.000000
32;1.500917;1.500917;1.500917;1.500917;0.000000
33;1.413125;1.413125;1.413125;1.413125;0.000000
34;1.482292;1.482292;1.482292;1.482292;0.000000
35;1.438166;1.438166;1.438166;1.438166;0.000000
36;1.417458;1.417458;1.417458;1.417458;0.000000
37;1.427583;1.427583;1.427583;1.427583;0.000000
38;1.386167;1.386167;1.386167;1.386167;0.000000
39;1.372750;1.372750;1.372750;1.372750;0.000000
