Size; Duration;Mean;Median;Min;Max
0;1.544959;1.544959;1.544959;1.544959;0.000000
1;1.927000;1.927000;1.927000;1.927000;0.000000
2;1.452417;1.452417;1.452417;1.452417;0.000000
3;1.860250;1.860250;1.860250;1.860250;0.000000
4;1.671709;1.671709;1.671709;1.671709;0.000000
5;1.628000;1.628000;1.628000;1.628000;0.000000
6;1.325625;1.325625;1.325625;1.325625;0.000000
7;1.353042;1.353042;1.353042;1.353042;0.000000
8;1.239542;1.239542;1.239542;1.239542;0.000000
9;1.255084;1.255084;1.255084;1.255084;0.000000
10;1.142000;1.142000;1.142000;1.142000;0.000000
11;1.209167;1.209167;1.209167;1.209167;0.000000
12;1.421709;1.421709;1.421709;1.421709;0.000000
13;1.108375;1.108375;1.108375;1.108375;0.000000
14;1.037833;1.037833;1.037833;1.037833;0.000000
15;1.052292;1.052292;1.052292;1.052292;0.000000
16;0.982000;0.982000;0.982000;0.982000;0.000000
17;1.031458;1.031458;1.031458;1.031458;0.000000
18;0.988833;0.988833;0.988833;0.988833;0.000000
19;1.001167;1.001167;1.001167;1.001167;0.000000
20;0.992708;0.992708;0.992708;0.992708;0.000000
21;0.913167;0.913167;0.913167;0.913167;0.000000
22;1.039167;1.039167;1.039167;1.039167;0.000000
23;0.953459;0.953459;0.953459;0.953459;0.000000
24;0.960041;0.960041;0.960041;0.960041;0.000000
25;0.948500;0.948500;0.948500;0.948500;0.000000
26;0.925458;0.925458;0.925458;0.925458;0.000000
27;0.960625;0.960625;0.960625;0.960625;0.000000
28;0.990166;0.990166;0.990166;0.990166;0.000000
29;0.918375;0.918375;0.918375;0.918375;0.000000
30;0.950375;0.950375;0.950375;0.950375;0.000000
31;0.920416;0.920416;0.920416;0.920416;0.000000
32;0.957042;0.957042;0.957042;0.957042;0.000000
33;1.034958;1.034958;1.034958;1.034958;0.000000
34;0.975750;0.975750;0.975750;0.975750;0.000000
35;0.957917;0.957917;0.957917;0.957917;0.000000
36;0.935291;0.935291;0.935291;0.935291;0.000000
37;0.943416;0.943416;0.943416;0.943416;0.000000
38;0.986125;0.986125;0.986125;0.986125;0.000000
39;0.949458;0.949458;0.949458;0.949458;0.000000
