Size; Duration;Mean;Median;Min;Max
0;11.574000;11.574000;11.574000;11.574000;0.000000
1;10.854750;10.854750;10.854750;10.854750;0.000000
2;10.567584;10.567584;10.567584;10.567584;0.000000
3;10.260750;10.260750;10.260750;10.260750;0.000000
4;9.859875;9.859875;9.859875;9.859875;0.000000
5;9.649458;9.649458;9.649458;9.649458;0.000000
6;9.522250;9.522250;9.522250;9.522250;0.000000
7;9.381875;9.381875;9.381875;9.381875;0.000000
8;9.216458;9.216458;9.216458;9.216458;0.000000
9;8.779833;8.779833;8.779833;8.779833;0.000000
10;8.663000;8.663000;8.663000;8.663000;0.000000
11;8.421292;8.421292;8.421292;8.421292;0.000000
12;8.118791;8.118791;8.118791;8.118791;0.000000
13;7.999625;7.999625;7.999625;7.999625;0.000000
14;7.853250;7.853250;7.853250;7.853250;0.000000
15;7.989708;7.989708;7.989708;7.989708;0.000000
16;7.961125;7.961125;7.961125;7.961125;0.000000
17;7.600334;7.600334;7.600334;7.600334;0.000000
18;7.456958;7.456958;7.456958;7.456958;0.000000
19;7.467500;7.467500;7.467500;7.467500;0.000000
20;7.504083;7.504083;7.504083;7.504083;0.000000
21;7.229208;7.229208;7.229208;7.229208;0.000000
22;6.991209;6.991209;6.991209;6.991209;0.000000
23;6.652541;6.652541;6.652541;6.652541;0.000000
24;6.631833;6.631833;6.631833;6.631833;0.000000
25;6.930500;6.930500;6.930500;6.930500;0.000000
26;7.139042;7.139042;7.139042;7.139042;0.000000
27;7.020916;7.020916;7.020916;7.020916;0.000000
28;7.090667;7.090667;7.090667;7.090667;0.000000
29;6.774875;6.774875;6.774875;6.774875;0.000000
30;6.730250;6.730250;6.730250;6.730250;0.000000
31;6.870250;6.870250;6.870250;6.870250;0.000000
32;7.243917;7.243917;7.243917;7.243917;0.000000
33;6.738125;6.738125;6.738125;6.738125;0.000000
34;6.933833;6.933833;6.933833;6.933833;0.000000
35;6.587875;6.587875;6.587875;6.587875;0.000000
36;7.229334;7.229334;7.229334;7.229334;0.000000
37;6.924167;6.924167;6.924167;6.924167;0.000000
38;6.761459;6.761459;6.761459;6.761459;0.000000
39;6.734958;6.734958;6.734958;6.734958;0.000000
