Size; Duration;Mean;Median;Min;Max
0;12.394625;12.394625;12.394625;12.394625;0.000000
1;12.175458;12.175458;12.175458;12.175458;0.000000
2;11.373042;11.373042;11.373042;11.373042;0.000000
3;11.176917;11.176917;11.176917;11.176917;0.000000
4;11.247458;11.247458;11.247458;11.247458;0.000000
5;11.220042;11.220042;11.220042;11.220042;0.000000
6;10.954875;10.954875;10.954875;10.954875;0.000000
7;10.632667;10.632667;10.632667;10.632667;0.000000
8;10.330250;10.330250;10.330250;10.330250;0.000000
9;10.193500;10.193500;10.193500;10.193500;0.000000
10;10.619584;10.619584;10.619584;10.619584;0.000000
11;12.799833;12.799833;12.799833;12.799833;0.000000
12;9.168084;9.168084;9.168084;9.168084;0.000000
13;9.298375;9.298375;9.298375;9.298375;0.000000
14;9.092000;9.092000;9.092000;9.092000;0.000000
15;8.678958;8.678958;8.678958;8.678958;0.000000
16;9.065875;9.065875;9.065875;9.065875;0.000000
17;8.850792;8.850792;8.850792;8.850792;0.000000
18;9.278500;9.278500;9.278500;9.278500;0.000000
19;8.011000;8.011000;8.011000;8.011000;0.000000
20;8.161292;8.161292;8.161292;8.161292;0.000000
21;7.837000;7.837000;7.837000;7.837000;0.000000
22;8.047833;8.047833;8.047833;8.047833;0.000000
23;7.920666;7.920666;7.920666;7.920666;0.000000
24;7.723750;7.723750;7.723750;7.723750;0.000000
25;7.920583;7.920583;7.920583;7.920583;0.000000
26;8.057291;8.057291;8.057291;8.057291;0.000000
27;7.881167;7.881167;7.881167;7.881167;0.000000
28;7.827000;7.827000;7.827000;7.827000;0.000000
29;7.857208;7.857208;7.857208;7.857208;0.000000
30;7.653625;7.653625;7.653625;7.653625;0.000000
31;7.694791;7.694791;7.694791;7.694791;0.000000
32;7.220417;7.220417;7.220417;7.220417;0.000000
33;7.302042;7.302042;7.302042;7.302042;0.000000
34;7.348834;7.348834;7.348834;7.348834;0.000000
35;7.356084;7.356084;7.356084;7.356084;0.000000
36;7.465334;7.465334;7.465334;7.465334;0.000000
37;7.345167;7.345167;7.345167;7.345167;0.000000
38;7.771500;7.771500;7.771500;7.771500;0.000000
39;7.246666;7.246666;7.246666;7.246666;0.000000
