Size; Duration;Mean;Median;Min;Max
0;204.581208;204.581208;204.581208;204.581208;0.000000
1;199.966750;199.966750;199.966750;199.966750;0.000000
2;63.692292;63.692292;63.692292;63.692292;0.000000
3;54.982833;54.982833;54.982833;54.982833;0.000000
4;31.997625;31.997625;31.997625;31.997625;0.000000
5;17.076708;17.076708;17.076708;17.076708;0.000000
6;10.682459;10.682459;10.682459;10.682459;0.000000
7;8.300333;8.300333;8.300333;8.300333;0.000000
8;3.362167;3.362167;3.362167;3.362167;0.000000
9;2.867500;2.867500;2.867500;2.867500;0.000000
10;2.444667;2.444667;2.444667;2.444667;0.000000
11;6.522750;6.522750;6.522750;6.522750;0.000000
12;2.527083;2.527083;2.527083;2.527083;0.000000
13;2.299791;2.299791;2.299791;2.299791;0.000000
14;1.978209;1.978209;1.978209;1.978209;0.000000
15;2.089083;2.089083;2.089083;2.089083;0.000000
16;2.018000;2.018000;2.018000;2.018000;0.000000
17;1.948250;1.948250;1.948250;1.948250;0.000000
18;1.849000;1.849000;1.849000;1.849000;0.000000
19;1.950375;1.950375;1.950375;1.950375;0.000000
20;1.917125;1.917125;1.917125;1.917125;0.000000
21;1.965542;1.965542;1.965542;1.965542;0.000000
22;1.897417;1.897417;1.897417;1.897417;0.000000
23;1.931167;1.931167;1.931167;1.931167;0.000000
24;1.984125;1.984125;1.984125;1.984125;0.000000
25;1.973875;1.973875;1.973875;1.973875;0.000000
26;1.910417;1.910417;1.910417;1.910417;0.000000
27;1.904375;1.904375;1.904375;1.904375;0.000000
28;1.902250;1.902250;1.902250;1.902250;0.000000
29;1.939792;1.939792;1.939792;1.939792;0.000000
30;2.156250;2.156250;2.156250;2.156250;0.000000
31;1.902333;1.902333;1.902333;1.902333;0.000000
32;1.940958;1.940958;1.940958;1.940958;0.000000
33;1.955583;1.955583;1.955583;1.955583;0.000000
34;1.945708;1.945708;1.945708;1.945708;0.000000
35;1.958209;1.958209;1.958209;1.958209;0.000000
36;1.891416;1.891416;1.891416;1.891416;0.000000
37;2.011584;2.011584;2.011584;2.011584;0.000000
38;1.946375;1.946375;1.946375;1.946375;0.000000
39;1.954416;1.954416;1.954416;1.954416;0.000000
