size; duration; mean; reps
385000;0.216994;2.16E-4;1000
386000;0.239044;2.39E-4;1000
387000;0.33549;3.35E-4;1000
388000;0.194098;1.94E-4;1000
389000;0.220885;2.2E-4;1000
390000;0.203594;2.03E-4;1000
391000;0.196164;1.96E-4;1000
392000;0.208125;2.08E-4;1000
393000;0.494575;4.94E-4;1000
394000;0.461783;4.61E-4;1000
395000;0.383597;3.83E-4;1000
396000;0.33237;3.32E-4;1000
397000;0.211625;2.11E-4;1000
398000;0.204092;2.04E-4;1000
399000;0.201215;2.01E-4;1000
400000;0.217544;2.17E-4;1000
401000;0.370376;3.7E-4;1000
402000;0.208039;2.08E-4;1000
403000;0.988772;9.88E-4;1000
404000;0.211904;2.11E-4;1000
405000;0.199086;1.99E-4;1000
406000;0.228414;2.28E-4;1000
407000;0.224079;2.24E-4;1000
408000;0.200502;2.0E-4;1000
409000;0.221439;2.21E-4;1000
410000;0.216488;2.16E-4;1000
411000;0.219491;2.19E-4;1000
412000;0.231084;2.31E-4;1000
413000;0.228477;2.28E-4;1000
414000;0.199195;1.99E-4;1000
415000;0.228107;2.28E-4;1000
416000;0.248705;2.48E-4;1000
417000;0.254336;2.54E-4;1000
418000;0.243407;2.43E-4;1000
419000;0.229769;2.29E-4;1000
420000;0.219627;2.19E-4;1000
421000;0.194081;1.94E-4;1000
422000;0.226662;2.26E-4;1000
423000;0.21054;2.1E-4;1000
424000;0.24379;2.43E-4;1000
425000;0.235846;2.35E-4;1000
426000;0.208922;2.08E-4;1000
427000;0.509007;5.09E-4;1000
428000;0.392502;3.92E-4;1000
429000;0.218697;2.18E-4;1000
430000;0.278365;2.78E-4;1000
431000;0.210166;2.1E-4;1000
432000;0.399412;3.99E-4;1000
433000;0.21079;2.1E-4;1000
434000;0.220826;2.2E-4;1000
435000;0.214255;2.14E-4;1000
436000;0.216249;2.16E-4;1000
437000;0.200066;2.0E-4;1000
438000;0.220177;2.2E-4;1000
439000;0.234626;2.34E-4;1000
440000;0.219951;2.19E-4;1000
441000;0.215291;2.15E-4;1000
442000;0.218997;2.18E-4;1000
443000;0.27138;2.71E-4;1000
444000;0.308055;3.08E-4;1000
445000;0.216966;2.16E-4;1000
446000;0.187894;1.87E-4;1000
447000;0.205777;2.05E-4;1000
448000;0.205842;2.05E-4;1000
449000;0.247797;2.47E-4;1000
450000;0.719984;7.19E-4;1000
451000;0.223489;2.23E-4;1000
452000;0.411255;4.11E-4;1000
