Size;Result;Duration;Mean;Median;Min;Max
0;0;11296.205369; 112.962053; 0.624291; 11233.405542; 11176.466228
1;1;8243.572082; 82.435720; 0.917125; 5538.451500; 5743.197714
2;2;7066.378624; 70.663786; 0.843584; 3122.064500; 4282.818179
3;3;6452.546459; 64.525464; 1.096791; 2555.542833; 3377.548103
4;4;4461.360036; 44.613600; 0.968083; 1806.030625; 2279.742104
5;5;3773.332998; 37.733329; 1.208833; 1392.628458; 1909.509090
6;6;4187.482292; 41.874822; 1.154666; 2937.370292; 2986.583250
7;7;2633.767748; 26.337677; 1.316500; 714.336209; 1075.977023
8;8;1815.955680; 18.159556; 1.388166; 565.735333; 778.833395
9;9;1704.594295; 17.045942; 1.616250; 436.463875; 682.044953
10;10;2199.350209; 21.993502; 1.713916; 795.285542; 1072.799231
11;11;1227.277380; 12.272773; 1.867416; 396.629708; 469.870887
12;12;1138.319416; 11.383194; 1.903167; 294.648167; 399.239293
13;13;918.949424; 9.189494; 2.156750; 167.103084; 244.422078
14;14;858.488338; 8.584883; 2.385583; 111.234959; 200.331044
15;15;954.589752; 9.545897; 2.545791; 227.652291; 265.715766
16;16;820.932081; 8.209320; 3.008209; 218.825166; 230.871338
17;17;723.012044; 7.230120; 2.674250; 55.663250; 91.875176
18;18;777.366375; 7.773663; 2.991666; 85.137708; 118.720259
19;19;754.018539; 7.540185; 3.079250; 57.644750; 94.749322
20;20;812.231499; 8.122314; 3.746083; 187.633583; 188.824750
21;21;741.488793; 7.414887; 3.222875; 61.088750; 83.737784
22;22;721.432959; 7.214329; 3.729125; 47.123750; 64.806513
23;23;752.305416; 7.523054; 3.209584; 46.302750; 75.868796
24;24;688.288208; 6.882882; 3.935167; 51.982833; 54.947039
25;25;756.437544; 7.564375; 3.078375; 67.508000; 77.236329
26;26;741.825416; 7.418254; 3.770208; 75.488083; 79.369337
27;27;741.840168; 7.418401; 3.669583; 38.834541; 53.023955
28;28;693.307831; 6.933078; 3.527458; 28.362833; 33.330901
29;29;723.169466; 7.231694; 4.131666; 33.583500; 41.681305
30;30;714.609046; 7.146090; 4.195834; 36.134333; 40.291726
31;31;738.621243; 7.386212; 3.319000; 42.565166; 43.969782
32;32;725.736122; 7.257361; 3.767667; 35.481125; 41.907079
33;33;740.161085; 7.401610; 3.448375; 40.353792; 41.588144
34;34;734.314830; 7.343148; 4.328042; 40.014541; 40.634287
35;35;742.206958; 7.422069; 4.199541; 34.879500; 42.077605
36;36;737.978751; 7.379787; 3.575208; 25.748083; 32.880119
37;37;776.193082; 7.761930; 4.633584; 97.712333; 92.396649
38;38;740.199247; 7.401992; 3.594000; 27.941625; 29.719895
39;39;806.801673; 8.068016; 3.881542; 112.944167; 107.010154
40;40;765.371286; 7.653712; 4.051958; 23.659500; 33.341273
41;41;751.658993; 7.516589; 3.704125; 22.648375; 24.675236
42;42;762.036789; 7.620367; 3.753959; 36.351917; 34.611803
43;43;756.912796; 7.569127; 3.305250; 23.453917; 28.362975
44;44;838.830790; 8.388307; 4.045208; 155.472292; 148.563583
45;45;763.738493; 7.637384; 4.528541; 24.888666; 23.665913
46;46;761.862208; 7.618622; 3.813083; 20.710166; 24.399987
47;47;750.407792; 7.504077; 4.591584; 16.819042; 16.977695
48;48;739.663334; 7.396633; 4.430708; 24.093083; 22.012936
49;49;787.326582; 7.873265; 4.451208; 26.566125; 32.608446
