Size;Result;Duration;Mean;Median;Min;Max
0;0;768.035831; 7.680358; 7.572291; 11.692834; 4.155982
1;1;754.541168; 7.545411; 7.445042; 11.300667; 3.844325
2;2;636.339085; 6.363390; 6.276833; 10.106834; 3.929070
3;3;662.309248; 6.623092; 6.490375; 9.666042; 3.362416
4;4;652.069915; 6.520699; 6.260250; 9.528875; 3.307904
5;5;680.778074; 6.807780; 6.631125; 9.746125; 3.245174
6;6;664.531289; 6.645312; 6.338542; 9.235458; 3.217370
7;7;656.019468; 6.560194; 6.371708; 8.844875; 2.838723
8;8;579.725927; 5.797259; 5.293750; 8.562208; 4.729868
9;9;563.442707; 5.634427; 5.118125; 8.817375; 5.806173
10;10;522.766210; 5.227662; 4.416792; 8.359417; 7.224622
11;11;517.685078; 5.176850; 4.454250; 8.394708; 7.699958
12;12;535.327212; 5.353272; 3.846625; 7.794667; 7.343997
13;13;514.864744; 5.148647; 3.570334; 7.901125; 9.471397
14;14;538.625503; 5.386255; 3.523833; 7.731542; 8.048461
15;15;467.312337; 4.673123; 3.655458; 7.913125; 10.598158
16;16;546.964886; 5.469648; 3.408875; 7.642208; 9.551312
17;17;551.889830; 5.518898; 3.778125; 7.605041; 8.641375
18;18;523.035170; 5.230351; 3.779375; 7.392875; 8.322225
19;19;522.346258; 5.223462; 3.439792; 7.574375; 10.291847
20;20;514.902633; 5.149026; 3.761167; 7.519250; 9.568263
21;21;535.430998; 5.354309; 3.737042; 7.491583; 9.355949
22;22;529.505380; 5.295053; 3.011958; 7.606792; 9.345280
23;23;543.568422; 5.435684; 3.139417; 7.565500; 10.607766
24;24;532.105790; 5.321057; 3.242958; 7.290084; 9.541027
25;25;570.704876; 5.707048; 3.359875; 7.488500; 9.494253
26;26;540.438995; 5.404389; 3.641958; 7.252500; 9.152703
27;27;550.782167; 5.507821; 3.333208; 7.358958; 9.417602
28;28;529.333882; 5.293338; 3.736834; 7.339542; 9.562349
29;29;556.176164; 5.561761; 3.137500; 7.226083; 9.560448
30;30;556.540629; 5.565406; 3.851459; 7.336041; 8.379512
31;31;563.656667; 5.636566; 3.332959; 7.422666; 8.317468
32;32;553.649624; 5.536496; 3.422833; 7.373125; 9.203645
33;33;569.496415; 5.694964; 3.779291; 7.280500; 8.778261
34;34;571.085080; 5.710850; 3.168791; 7.517625; 10.243873
35;35;593.740333; 5.937403; 3.938917; 7.595000; 8.885631
36;36;564.146751; 5.641467; 3.837708; 7.132584; 8.192594
37;37;573.097130; 5.730971; 3.780292; 7.193833; 9.040998
38;38;576.970043; 5.769700; 3.356042; 7.274917; 9.248669
39;39;578.643457; 5.786434; 3.606084; 7.466625; 7.740251
40;40;562.603420; 5.626034; 3.601291; 7.536958; 8.792061
41;41;560.266081; 5.602660; 3.845500; 7.170833; 8.098336
42;42;579.798121; 5.797981; 3.772000; 7.488125; 8.391260
43;43;583.796128; 5.837961; 3.651750; 7.152000; 8.586198
44;44;564.698171; 5.646981; 3.852958; 7.269959; 9.011765
45;45;572.767083; 5.727670; 3.415792; 7.237125; 8.054587
46;46;573.812214; 5.738122; 3.476417; 7.159083; 8.401825
47;47;574.829249; 5.748292; 3.809125; 7.129750; 7.936607
48;48;584.338457; 5.843384; 3.352042; 7.087000; 9.249569
49;49;583.905914; 5.839059; 3.498875; 7.353583; 8.615968
