Size;Result;Duration;Mean;Median;Min;Max
0;0;13440.926582; 134.409265; 0.696000; 13371.146000; 13303.420968
1;1;13445.729831; 134.457298; 0.865250; 11222.550375; 11330.609550
2;2;11122.510037; 111.225100; 1.220959; 6200.196125; 7743.654801
3;3;7289.450460; 72.894504; 1.123625; 3553.335250; 4210.658736
4;4;6373.706455; 63.737064; 1.077375; 2688.467125; 3383.792138
5;5;4777.448794; 47.774487; 1.369000; 1598.782750; 2260.648869
6;6;3462.795081; 34.627950; 1.363792; 961.742291; 1443.323394
7;7;3223.256541; 32.232565; 1.558625; 1249.333625; 1528.734851
8;8;2876.089712; 28.760897; 1.606417; 1221.355375; 1374.322027
9;9;2145.161626; 21.451616; 1.703917; 712.731583; 873.000274
10;10;2153.555336; 21.535553; 1.907166; 1032.232417; 1098.082958
11;11;1993.602917; 19.936029; 2.166458; 434.769209; 746.210757
12;12;1468.665870; 14.686658; 2.021666; 318.262375; 484.502520
13;13;1403.181126; 14.031811; 2.263333; 380.764709; 506.460833
14;14;1322.966249; 13.229662; 2.525250; 538.525625; 566.787350
15;15;864.466419; 8.644664; 2.943916; 122.619791; 164.093363
16;16;883.353791; 8.833537; 2.703875; 106.443709; 172.562916
17;17;1045.869373; 10.458693; 2.972625; 202.623750; 258.638480
18;18;913.305709; 9.133057; 2.936833; 107.448334; 146.639208
19;19;957.104921; 9.571049; 3.617584; 226.084542; 233.608571
20;20;801.792745; 8.017927; 3.836292; 65.715208; 86.811375
21;21;856.866499; 8.568664; 4.096709; 126.833083; 129.134491
22;22;798.714116; 7.987141; 4.067792; 44.893833; 67.105746
23;23;928.191169; 9.281911; 4.371834; 109.512625; 131.542884
24;24;810.800459; 8.108004; 3.884917; 39.663042; 56.238823
25;25;826.022335; 8.260223; 4.699292; 35.387333; 53.346639
26;26;835.472794; 8.354727; 4.009416; 57.265833; 73.149847
27;27;877.235789; 8.772357; 4.559209; 97.443458; 100.614241
28;28;855.158705; 8.551587; 4.561500; 49.815292; 65.136554
29;29;801.726047; 8.017260; 4.484250; 18.172792; 29.089924
30;30;826.042296; 8.260422; 4.587209; 43.383458; 50.779304
31;31;839.464124; 8.394641; 4.322375; 28.869458; 40.824967
32;32;815.829832; 8.158298; 4.487917; 30.569833; 35.986595
33;33;862.515293; 8.625152; 4.226708; 45.900166; 58.173348
34;34;882.963244; 8.829632; 3.950042; 89.577375; 85.962292
35;35;848.303209; 8.483032; 4.497667; 29.417916; 45.661832
36;36;829.920079; 8.299200; 4.102125; 22.054500; 30.027819
37;37;916.830585; 9.168305; 4.501292; 92.077375; 88.058716
38;38;875.413043; 8.754130; 4.392291; 37.450833; 51.496577
39;39;876.959334; 8.769593; 4.228209; 53.772750; 54.798325
40;40;839.497334; 8.394973; 4.888125; 24.367833; 31.075475
41;41;917.936838; 9.179368; 4.767459; 57.308375; 63.234675
42;42;879.795794; 8.797957; 4.545875; 25.889875; 33.215152
43;43;863.132749; 8.631327; 5.002500; 49.538750; 46.875059
44;44;878.814709; 8.788147; 4.396667; 36.160666; 43.202629
45;45;898.504163; 8.985041; 4.469834; 56.780458; 53.264948
46;46;868.198000; 8.681980; 5.256625; 24.341500; 31.466823
47;47;867.340538; 8.673405; 4.417083; 31.336042; 33.192098
48;48;862.408161; 8.624081; 4.744917; 29.368042; 29.949447
49;49;859.477869; 8.594778; 5.258250; 38.544250; 36.589410
