Size; Duration;Mean;Median;Min;Max
0;118.661293; 1.186612; 1.127959; 1.535042; 0.493057
1;115.635710; 1.156357; 1.103541; 1.491208; 0.473073
2;110.053500; 1.100535; 1.045833; 1.389833; 0.408430
3;104.886001; 1.048860; 1.016167; 1.392833; 0.402415
4;103.350245; 1.033502; 0.989875; 1.328625; 0.424011
5;100.637120; 1.006371; 0.844166; 1.279375; 0.936978
6;85.814503; 0.858145; 0.773083; 1.295583; 1.104901
7;73.796840; 0.737968; 0.622209; 1.240417; 1.349588
8;70.255249; 0.702552; 0.580041; 1.181666; 1.473172
9;68.351920; 0.683519; 0.523000; 1.979791; 1.897186
10;75.358210; 0.753582; 0.535666; 1.151667; 1.867421
11;75.305332; 0.753053; 0.531042; 1.129500; 1.441576
12;69.137793; 0.691377; 0.509875; 1.114375; 1.563295
13;85.497462; 0.854974; 0.575125; 1.149667; 1.450222
14;71.731299; 0.717312; 0.526792; 1.118250; 1.757377
15;72.568832; 0.725688; 0.566916; 1.403708; 1.609759
16;73.397293; 0.733972; 0.538875; 1.085792; 1.399140
17;79.530287; 0.795302; 0.502708; 1.139958; 1.403939
18;72.427961; 0.724279; 0.474791; 1.206459; 1.533186
19;81.161665; 0.811616; 0.494791; 1.113125; 1.770309
20;76.061754; 0.760617; 0.471708; 1.062167; 1.473231
21;75.336960; 0.753369; 0.516417; 1.152583; 1.343173
22;78.813964; 0.788139; 0.470750; 1.091833; 1.578400
23;77.696168; 0.776961; 0.532917; 1.275667; 1.524928
24;85.326915; 0.853269; 0.461666; 1.367625; 1.686024
25;74.188404; 0.741884; 0.525417; 1.005875; 1.377867
26;73.307414; 0.733074; 0.544333; 1.073416; 1.470161
27;75.280955; 0.752809; 0.508333; 1.104291; 1.362693
28;80.748998; 0.807489; 0.490792; 1.125750; 1.424130
29;72.778426; 0.727784; 0.541458; 1.182375; 1.336065
30;79.247508; 0.792475; 0.473709; 1.120333; 1.379562
31;77.320707; 0.773207; 0.560250; 1.033208; 1.148334
32;75.045245; 0.750452; 0.504250; 1.099833; 1.196181
33;74.442372; 0.744423; 0.549125; 1.041750; 1.345715
34;78.141709; 0.781417; 0.527500; 1.398834; 1.233090
35;75.580916; 0.755809; 0.584458; 1.031750; 1.132150
36;80.712664; 0.807126; 0.536375; 1.043750; 1.157571
37;76.518589; 0.765185; 0.576459; 1.024375; 1.166626
38;78.619370; 0.786193; 0.559792; 1.054417; 1.152474
39;77.363623; 0.773636; 0.540584; 1.024417; 1.171190
40;79.817426; 0.798174; 0.474250; 1.083583; 1.276308
41;77.612248; 0.776122; 0.541416; 1.028291; 1.161252
42;77.422790; 0.774227; 0.540375; 1.012500; 1.088209
43;76.938878; 0.769388; 0.597708; 0.995333; 0.935124
44;78.619422; 0.786194; 0.522000; 1.034583; 1.157936
45;74.512122; 0.745121; 0.452708; 1.277542; 1.328114
46;77.915832; 0.779158; 0.568125; 0.980666; 0.942207
47;79.076118; 0.790761; 0.571666; 1.022375; 0.912918
48;76.481874; 0.764818; 0.611292; 0.983875; 0.856244
49;77.286793; 0.772867; 0.611042; 1.026083; 0.941665
50;78.365794; 0.783657; 0.585334; 1.010209; 0.916741
51;78.492124; 0.784921; 0.530250; 1.034167; 1.057851
52;78.100758; 0.781007; 0.617250; 1.017417; 0.833980
53;77.171792; 0.771717; 0.632958; 1.039000; 0.943511
54;76.680336; 0.766803; 0.636917; 1.011125; 0.856770
55;78.499661; 0.784996; 0.600958; 0.998167; 0.869280
56;76.611825; 0.766118; 0.596875; 1.025208; 0.831581
57;78.625750; 0.786257; 0.582208; 1.046417; 0.883948
58;77.874957; 0.778749; 0.601833; 0.992709; 0.828204
59;78.006665; 0.780066; 0.639167; 0.997834; 0.763309
60;78.994913; 0.789949; 0.591875; 0.997166; 0.910653
61;76.579793; 0.765797; 0.573459; 1.078125; 0.937131
62;76.731704; 0.767317; 0.681042; 1.035917; 0.740141
63;78.382621; 0.783826; 0.623417; 1.019625; 0.753458
64;77.626373; 0.776263; 0.634041; 0.996750; 0.686479
65;78.074659; 0.780746; 0.644375; 0.980667; 0.717617
66;76.219625; 0.762196; 0.636416; 1.004042; 0.775954
67;78.413164; 0.784131; 0.597292; 1.112792; 0.994281
68;76.676544; 0.766765; 0.679333; 1.007125; 0.703236
69;77.703245; 0.777032; 0.688458; 1.022291; 0.602913
70;77.365874; 0.773658; 0.669375; 0.994083; 0.634473
71;77.841585; 0.778415; 0.701000; 1.012500; 0.615246
72;77.450790; 0.774507; 0.675375; 1.050875; 0.742151
73;76.455369; 0.764553; 0.657500; 0.982250; 0.743830
74;77.185540; 0.771855; 0.691583; 1.009417; 0.667167
75;77.344836; 0.773448; 0.682834; 0.992542; 0.623022
76;77.749249; 0.777492; 0.659667; 1.028708; 0.695509
77;77.613958; 0.776139; 0.681666; 0.972333; 0.677458
78;77.255124; 0.772551; 0.662000; 0.988750; 0.695182
79;77.363413; 0.773634; 0.676458; 0.986083; 0.655843
80;77.004588; 0.770045; 0.685833; 1.002625; 0.606701
81;77.385624; 0.773856; 0.682375; 1.033042; 0.710407
82;77.755164; 0.777551; 0.684250; 1.012958; 0.664255
83;77.255248; 0.772552; 0.677666; 1.010666; 0.651616
84;75.682749; 0.756827; 0.662333; 1.013875; 0.719886
85;77.592494; 0.775924; 0.702250; 1.070125; 0.695899
86;78.172377; 0.781723; 0.694083; 0.998292; 0.627383
87;77.214870; 0.772148; 0.645000; 1.015833; 0.698562
88;88.108660; 0.881086; 0.717125; 1.644500; 1.610250
89;78.250829; 0.782508; 0.701958; 1.002875; 0.700838
90;77.857375; 0.778573; 0.711917; 1.040791; 0.642496
91;76.260246; 0.762602; 0.666041; 1.003833; 0.707590
92;77.303589; 0.773035; 0.686125; 1.010625; 0.647179
93;78.500295; 0.785002; 0.718583; 0.983667; 0.567880
94;76.896087; 0.768960; 0.696375; 1.009833; 0.638200
95;77.313502; 0.773135; 0.698125; 1.009167; 0.595572
96;77.584754; 0.775847; 0.685333; 1.010917; 0.639196
97;78.424418; 0.784244; 0.699750; 1.006292; 0.606024
98;78.746214; 0.787462; 0.717042; 1.027250; 0.588377
99;76.834666; 0.768346; 0.685833; 0.994125; 0.657806
