Size;Result;Duration;Mean;Median;Min;Max
0;0;1018.627500; 10.186275; 10.047000; 15.810000; 5.775545
1;1;1004.882498; 10.048824; 9.731375; 15.117667; 5.334328
2;2;837.174037; 8.371740; 8.209375; 13.443291; 5.334174
3;3;864.517544; 8.645175; 8.526833; 13.321625; 5.113169
4;4;859.573706; 8.595737; 8.379625; 12.778417; 4.640144
5;5;888.322583; 8.883225; 8.575708; 12.668250; 4.134862
6;6;861.335084; 8.613350; 8.375500; 12.553833; 4.294121
7;7;874.299460; 8.742994; 8.349917; 12.197333; 4.311642
8;8;819.328540; 8.193285; 7.119291; 11.253375; 5.008171
9;9;838.695914; 8.386959; 7.239750; 11.488459; 5.023670
10;10;717.050842; 7.170508; 6.400250; 10.978917; 6.884427
11;11;730.341335; 7.303413; 6.042041; 11.277375; 7.990317
12;12;664.363002; 6.643630; 5.642959; 10.705000; 8.909323
13;13;681.142420; 6.811424; 5.221292; 10.388000; 11.139871
14;14;703.471049; 7.034710; 4.836583; 10.439625; 10.939650
15;15;746.373625; 7.463736; 4.377416; 10.017750; 11.008364
16;16;655.990379; 6.559903; 4.830791; 10.214583; 11.804551
17;17;680.828007; 6.808280; 5.372417; 10.792041; 11.312554
18;18;704.223375; 7.042233; 4.949250; 10.034584; 11.050978
19;19;727.659330; 7.276593; 5.128708; 10.279959; 10.613663
20;20;708.210543; 7.082105; 4.409667; 10.053708; 12.741618
21;21;708.341376; 7.083413; 5.062416; 9.902416; 13.663369
22;22;689.501998; 6.895019; 5.037084; 10.056041; 13.303760
23;23;766.202669; 7.662026; 4.766208; 9.888459; 12.101820
24;24;731.699211; 7.316992; 4.282250; 9.782500; 12.916132
25;25;717.365124; 7.173651; 4.815833; 9.873708; 12.836226
26;26;735.471999; 7.354719; 4.274417; 10.099125; 12.551535
27;27;751.459667; 7.514596; 4.331458; 9.816125; 11.329757
28;28;729.420415; 7.294204; 4.842500; 9.907292; 11.776166
29;29;725.538627; 7.255386; 4.427250; 9.407125; 12.170889
30;30;744.872293; 7.448722; 4.765792; 9.988167; 11.776124
31;31;735.458290; 7.354582; 4.506666; 9.586084; 13.030689
32;32;726.600625; 7.266006; 4.389708; 9.992125; 12.279150
33;33;769.000376; 7.690003; 4.746792; 9.796625; 11.581298
34;34;738.656416; 7.386564; 4.577583; 10.036500; 11.962808
35;35;767.661796; 7.676617; 3.836750; 9.895667; 11.897132
36;36;763.397124; 7.633971; 3.842166; 9.549375; 13.271781
37;37;753.442001; 7.534420; 5.246208; 9.458917; 10.729206
38;38;753.960291; 7.539602; 4.448959; 9.707708; 12.832914
39;39;735.202793; 7.352027; 5.003959; 11.510250; 12.165329
40;40;762.119918; 7.621199; 3.833916; 9.839666; 13.075385
41;41;782.341044; 7.823410; 4.612709; 9.838459; 13.060323
42;42;769.240373; 7.692403; 4.870791; 9.984291; 10.995567
43;43;778.911163; 7.789111; 3.894625; 9.894542; 13.208092
44;44;750.972293; 7.509722; 4.876625; 10.074625; 11.341350
45;45;785.015497; 7.850154; 4.332667; 9.645792; 10.350127
46;46;756.139791; 7.561397; 4.899375; 9.667417; 10.394032
47;47;779.481754; 7.794817; 5.109750; 9.540459; 9.869713
48;48;780.791958; 7.807919; 4.266958; 9.717625; 12.305083
49;49;768.878084; 7.688780; 5.221584; 9.653208; 10.713307
