Size;Result;Duration;Mean;Median;Min;Max
0;0;955.963665; 9.559636; 9.410375; 14.920250; 5.533453
1;1;943.866250; 9.438662; 9.171916; 14.272667; 5.026008
2;2;788.139004; 7.881390; 7.668958; 12.381875; 4.844604
3;3;816.285593; 8.162855; 7.958833; 12.660875; 4.879290
4;4;803.852082; 8.038520; 7.822917; 12.005333; 4.333687
5;5;838.240666; 8.382406; 8.108584; 11.957458; 3.852361
6;6;806.371414; 8.063714; 7.705917; 11.381791; 3.929028
7;7;831.660922; 8.316609; 7.777792; 11.217666; 3.354007
8;8;793.872997; 7.938729; 7.406416; 11.048958; 4.059670
9;9;794.030748; 7.940307; 6.915500; 11.174375; 5.028175
10;10;695.323832; 6.953238; 5.738833; 10.646375; 7.566252
11;11;652.337209; 6.523372; 5.471459; 10.832125; 9.544470
12;12;576.154504; 5.761545; 4.726125; 9.964541; 11.445187
13;13;685.146671; 6.851466; 4.584625; 10.067750; 11.042405
14;14;631.172622; 6.311726; 4.382750; 9.957458; 10.231758
15;15;680.830708; 6.808307; 4.937292; 9.868291; 10.400170
16;16;654.812955; 6.548129; 4.463875; 9.584750; 10.365629
17;17;664.566872; 6.645668; 4.740334; 9.492875; 11.456223
18;18;642.121123; 6.421211; 4.214459; 9.178875; 11.117741
19;19;677.087292; 6.770872; 3.919375; 9.443708; 11.335782
20;20;643.595422; 6.435954; 4.280042; 9.589625; 12.382096
21;21;682.024789; 6.820247; 4.441500; 9.510750; 11.506060
22;22;649.956702; 6.499567; 4.806750; 9.633042; 12.226270
23;23;653.791833; 6.537918; 4.848584; 9.607584; 12.545039
24;24;668.889372; 6.688893; 4.570750; 9.521083; 12.014029
25;25;697.210793; 6.972107; 4.536666; 9.241833; 10.727738
26;26;680.669426; 6.806694; 4.360334; 9.203792; 10.637401
27;27;713.004042; 7.130040; 4.523250; 9.351041; 10.444199
28;28;702.206040; 7.022060; 4.131792; 9.475416; 11.844683
29;29;720.768419; 7.207684; 3.738458; 9.262917; 13.236085
30;30;672.521375; 6.725213; 4.695667; 9.340000; 11.534997
31;31;715.548295; 7.155482; 4.521916; 9.435417; 12.128697
32;32;694.723871; 6.947238; 4.209834; 9.389792; 12.553008
33;33;701.918874; 7.019188; 4.079625; 9.079917; 10.698654
34;34;694.443704; 6.944437; 4.439875; 9.173292; 10.464903
35;35;700.858498; 7.008584; 4.859958; 11.614000; 12.467395
36;36;712.449464; 7.124494; 4.466000; 8.911459; 10.799853
37;37;729.309499; 7.293094; 4.226833; 9.137042; 11.663626
38;38;722.751831; 7.227518; 4.575916; 9.820750; 12.286311
39;39;723.207875; 7.232078; 4.409500; 9.127166; 10.877869
40;40;710.353747; 7.103537; 4.079625; 9.244250; 12.078546
41;41;725.907128; 7.259071; 3.664000; 9.043375; 10.264626
42;42;713.046420; 7.130464; 4.575459; 9.086167; 10.207109
43;43;714.672916; 7.146729; 4.679833; 8.922708; 10.094015
44;44;713.793498; 7.137934; 3.913541; 8.944209; 9.977244
45;45;745.851756; 7.458517; 4.420166; 9.622750; 10.289850
46;46;721.668659; 7.216686; 4.067208; 9.292666; 12.578556
47;47;735.572043; 7.355720; 3.949083; 9.032166; 11.622761
48;48;730.347876; 7.303478; 4.557708; 9.188167; 9.751263
49;49;734.286202; 7.342862; 4.654375; 9.360083; 9.251384
