Size; Duration;Mean;Median;Min;Max
0;182.625623; 1.826256; 1.688542; 3.256583; 2.442024
1;173.829040; 1.738290; 1.668750; 2.267167; 0.672926
2;180.010456; 1.800104; 1.640583; 2.676833; 1.487871
3;170.219338; 1.702193; 1.593958; 2.525667; 1.168644
4;161.698169; 1.616981; 1.494500; 2.154209; 1.243755
5;158.975661; 1.589756; 1.339792; 2.019125; 1.056481
6;137.162330; 1.371623; 1.283041; 1.999583; 1.028947
7;123.227621; 1.232276; 1.002792; 1.974042; 1.676724
8;116.663083; 1.166630; 0.992416; 1.840042; 1.965799
9;105.491216; 1.054912; 0.859542; 2.029667; 2.473500
10;110.475299; 1.104752; 0.860917; 1.798042; 2.299237
11;111.520205; 1.115202; 0.806375; 1.773542; 1.970922
12;130.632290; 1.306322; 0.830917; 1.835916; 2.611570
13;106.339952; 1.063399; 0.831709; 1.752083; 2.469089
14;105.845503; 1.058455; 0.799208; 1.731750; 2.438073
15;116.641672; 1.166416; 0.961417; 1.792375; 2.145995
16;110.324210; 1.103242; 0.825584; 1.686792; 2.307335
17;132.093292; 1.320932; 0.801083; 1.764750; 2.315488
18;118.050915; 1.180509; 0.763708; 1.775834; 2.584163
19;123.193002; 1.231930; 0.774541; 2.521292; 2.820110
20;120.207378; 1.202073; 0.724292; 1.764041; 2.159999
21;112.502166; 1.125021; 0.782750; 1.627417; 2.201620
22;120.412663; 1.204126; 0.787708; 1.662250; 2.266081
23;113.095292; 1.130952; 0.797000; 1.700167; 2.398853
24;117.385046; 1.173850; 0.748875; 1.657792; 2.286219
25;113.643334; 1.136433; 0.841000; 1.615208; 2.105187
26;125.689961; 1.256899; 0.744833; 1.652583; 1.973438
27;127.621417; 1.276214; 0.711042; 1.736458; 2.265602
28;120.402498; 1.204024; 0.798416; 1.621000; 2.211073
29;119.314381; 1.193143; 0.719292; 1.664875; 2.278505
30;120.223876; 1.202238; 0.781208; 1.681125; 2.202797
31;121.453628; 1.214536; 0.793625; 1.698250; 2.124265
32;125.996668; 1.259966; 0.738875; 1.737333; 2.271040
33;120.131375; 1.201313; 0.803500; 1.963083; 2.297097
