Size;Result;Duration;Mean;Median;Min;Max
0;0;9703.512210; 97.035122; 0.577291; 9645.686500; 9596.755719
1;1;7332.483296; 73.324832; 0.855916; 4996.553042; 5183.263216
2;2;7513.617956; 75.136179; 0.748667; 3826.272625; 4748.024527
3;3;5583.899323; 55.838993; 0.982541; 2664.906834; 3215.095997
4;4;4924.406045; 49.244060; 0.944875; 3059.715792; 3204.362005
5;5;3501.186665; 35.011866; 1.172750; 1978.612041; 2142.737970
6;6;2251.444127; 22.514441; 1.256917; 510.923250; 878.961642
7;7;2442.045462; 24.420454; 1.248250; 611.425750; 1003.047629
8;8;2225.237747; 22.252377; 1.291208; 819.984042; 1061.374584
9;9;1362.018704; 13.620187; 1.506333; 244.757333; 441.354311
10;10;1479.667418; 14.796674; 1.453541; 320.061917; 496.342907
11;11;1480.246288; 14.802462; 1.806834; 608.107667; 670.165333
12;12;924.378129; 9.243781; 1.765083; 260.780417; 298.007525
13;13;1217.341911; 12.173419; 2.039667; 579.643667; 591.337171
14;14;788.355247; 7.883552; 2.070250; 124.131916; 186.143932
15;15;845.798085; 8.457980; 2.213958; 183.277000; 212.806050
16;16;713.384961; 7.133849; 2.117042; 120.056750; 160.511060
17;17;737.853799; 7.378537; 2.715042; 75.567209; 122.081510
18;18;644.829670; 6.448296; 3.208917; 47.584500; 74.667116
19;19;627.478957; 6.274789; 3.287791; 45.982792; 63.390550
20;20;621.997124; 6.219971; 3.313042; 50.294750; 60.964391
21;21;668.814461; 6.688144; 3.122917; 54.493625; 68.513959
22;22;660.325132; 6.603251; 3.488667; 56.118375; 64.383923
23;23;657.808711; 6.578087; 3.732000; 71.322333; 70.877239
24;24;625.541952; 6.255419; 3.796125; 33.736833; 37.228726
25;25;678.686410; 6.786864; 3.681042; 37.665791; 54.134161
26;26;683.730045; 6.837300; 3.090042; 44.475041; 52.298408
27;27;647.335999; 6.473359; 3.831000; 26.643583; 31.379329
28;28;696.051292; 6.960512; 4.048333; 53.102833; 57.873685
29;29;652.119126; 6.521191; 4.013334; 29.438459; 31.642077
30;30;735.609956; 7.356099; 4.048417; 121.911667; 124.337502
31;31;688.911046; 6.889110; 4.108250; 27.845500; 41.210806
32;32;659.658254; 6.596582; 3.802666; 36.341375; 35.333190
33;33;684.412877; 6.844128; 4.272041; 40.668750; 41.512119
34;34;669.488758; 6.694887; 3.450167; 22.546959; 29.173235
35;35;743.720959; 7.437209; 3.876000; 104.556500; 100.190037
36;36;671.225588; 6.712255; 3.982000; 17.774625; 21.203518
37;37;726.156249; 7.261562; 3.703375; 36.926208; 45.693626
38;38;692.338286; 6.923382; 3.749875; 28.880208; 29.656240
39;39;698.466462; 6.984664; 3.937833; 17.239875; 23.965201
40;40;734.796871; 7.347968; 4.119083; 68.733750; 65.629253
41;41;706.267544; 7.062675; 3.977458; 16.953209; 20.983250
42;42;718.032378; 7.180323; 3.517500; 31.572750; 36.460394
43;43;701.918630; 7.019186; 3.458541; 17.882209; 20.821827
44;44;714.777965; 7.147779; 4.405750; 18.804667; 25.916476
45;45;737.550377; 7.375503; 4.248708; 71.047750; 65.627863
46;46;778.413626; 7.784136; 4.234125; 61.675625; 75.714031
47;47;718.422457; 7.184224; 3.598334; 27.433000; 28.109605
48;48;700.412711; 7.004127; 3.885542; 18.117292; 21.364087
49;49;717.433292; 7.174332; 4.104250; 48.841875; 44.039797
