Size;Result;Duration;Mean;Median;Min;Max
0;0;8116.056874; 81.160568; 0.544250; 8061.868916; 8020.913681
1;1;7907.059868; 79.070598; 0.669083; 6091.604750; 6259.085582
2;2;5034.772703; 50.347727; 0.808625; 2644.455167; 3066.811637
3;3;4457.666544; 44.576665; 0.870250; 1856.852292; 2527.758507
4;4;3520.995792; 35.209957; 0.890208; 1336.420083; 1722.109363
5;5;2626.291287; 26.262912; 1.122500; 623.292167; 1124.191123
6;6;2383.405292; 23.834052; 0.969667; 938.437708; 1095.881467
7;7;1864.025546; 18.640255; 1.231166; 525.483792; 731.893813
8;8;1977.250168; 19.772501; 1.216750; 594.596583; 876.679658
9;9;1395.179538; 13.951795; 1.382750; 417.529875; 571.306524
10;10;928.974711; 9.289747; 1.365667; 195.208875; 270.315446
11;11;1056.186372; 10.561863; 1.612875; 279.611917; 355.182602
12;12;959.191416; 9.591914; 1.699542; 376.441000; 396.757758
13;13;706.369874; 7.063698; 2.007125; 127.528292; 170.099767
14;14;1038.094997; 10.380949; 1.886833; 500.304000; 508.100850
15;15;697.474460; 6.974744; 2.213208; 106.795209; 164.040133
16;16;595.240047; 5.952400; 2.225875; 84.761875; 102.093222
17;17;626.266164; 6.262661; 2.525750; 85.319042; 96.903406
18;18;683.292034; 6.832920; 2.562583; 100.493916; 123.048631
19;19;655.249459; 6.552494; 2.873625; 68.736625; 95.031384
20;20;734.690124; 7.346901; 2.743333; 113.440000; 132.013475
21;21;635.424040; 6.354240; 3.145542; 66.134500; 75.010451
22;22;606.472457; 6.064724; 3.520459; 59.043333; 67.743143
23;23;614.110455; 6.141104; 3.565083; 46.463208; 55.056225
24;24;586.887667; 5.868876; 3.421167; 20.458208; 33.733008
25;25;607.807249; 6.078072; 2.951875; 25.443667; 31.220617
26;26;650.379914; 6.503799; 3.636750; 95.914542; 93.775537
27;27;610.499587; 6.104995; 3.434500; 18.348458; 30.408514
28;28;610.183544; 6.101835; 3.257916; 30.697083; 35.560858
29;29;610.161953; 6.101619; 3.595292; 24.583250; 30.708297
30;30;630.243919; 6.302439; 3.465000; 30.761417; 36.319477
31;31;630.104245; 6.301042; 3.732125; 29.687333; 32.239442
32;32;592.071043; 5.920710; 3.918667; 12.133292; 17.253749
33;33;626.908339; 6.269083; 3.628792; 12.769208; 20.303243
34;34;612.194083; 6.121940; 3.246875; 16.764709; 20.354994
35;35;627.325796; 6.273257; 3.297500; 18.602875; 21.752109
36;36;626.411743; 6.264117; 3.331459; 22.212250; 25.460818
37;37;644.832370; 6.448323; 3.096500; 27.409750; 30.546218
38;38;622.276502; 6.222765; 3.435833; 17.061292; 20.555599
39;39;693.208049; 6.932080; 3.471875; 42.525542; 47.436094
40;40;648.278460; 6.482784; 3.522375; 27.128042; 31.945776
41;41;653.284923; 6.532849; 2.971834; 23.511000; 24.110817
42;42;633.515121; 6.335151; 3.308459; 10.669541; 15.250534
43;43;674.983382; 6.749833; 3.522375; 23.546917; 27.879941
44;44;660.291084; 6.602910; 3.866833; 17.634000; 24.384015
45;45;659.666795; 6.596667; 3.216792; 31.817250; 32.169521
46;46;658.503714; 6.585037; 3.958125; 21.713625; 25.886125
47;47;649.496957; 6.494969; 3.190416; 18.372125; 19.638356
48;48;657.636537; 6.576365; 3.921041; 23.451750; 25.154322
49;49;668.004000; 6.680040; 3.951458; 18.620292; 22.807965
