Size; Duration;Mean;Median;Min;Max
0;234.637248; 2.346372; 2.278875; 3.171834; 1.085531
1;240.268292; 2.402682; 2.274875; 3.397000; 1.619040
2;256.349003; 2.563490; 2.252500; 4.786500; 4.541861
3;242.723455; 2.427234; 2.124667; 6.040541; 4.547327
4;249.226786; 2.492267; 2.025000; 6.902833; 9.266479
5;329.816248; 3.298162; 2.089916; 22.359459; 24.084204
6;191.281164; 1.912811; 1.692291; 2.776291; 1.861772
7;178.351876; 1.783518; 1.479792; 2.572666; 2.000385
8;186.649083; 1.866490; 1.428750; 2.568375; 2.437122
9;175.076620; 1.750766; 1.163916; 2.583084; 2.943369
10;176.445632; 1.764456; 1.231209; 4.308167; 4.163939
11;143.332505; 1.433325; 1.112375; 2.757125; 3.251555
12;147.828049; 1.478280; 1.053500; 2.830292; 3.834816
13;169.570878; 1.695708; 1.168959; 3.203208; 3.957143
14;179.502336; 1.795023; 1.106916; 4.507417; 6.425061
15;219.489123; 2.194891; 1.232750; 4.889917; 7.184417
16;155.338829; 1.553388; 1.193292; 2.337875; 3.189263
17;178.163999; 1.781639; 1.236125; 3.073375; 3.643289
18;176.559751; 1.765597; 1.020542; 2.363083; 3.121670
19;210.238748; 2.102387; 1.187750; 3.752792; 5.552803
20;174.369502; 1.743695; 1.060500; 3.871667; 4.415978
21;163.462250; 1.634622; 0.977333; 2.516959; 3.358546
22;161.631417; 1.616314; 1.081875; 2.285458; 3.033023
23;157.827129; 1.578271; 1.087000; 2.174917; 3.104067
24;182.184786; 1.821847; 1.159958; 3.620500; 5.122755
25;163.268916; 1.632689; 1.106583; 3.069625; 3.563151
26;173.088914; 1.730889; 1.089625; 2.296833; 3.283202
27;208.389786; 2.083897; 1.234125; 4.641000; 7.303322
28;265.998871; 2.659988; 1.044250; 5.684000; 9.345260
29;197.508374; 1.975083; 1.044500; 5.988625; 7.608034
30;165.808584; 1.658085; 1.150792; 2.231042; 3.112488
31;168.685536; 1.686855; 1.078500; 2.312958; 3.113547
32;161.655670; 1.616556; 1.137000; 2.172459; 2.702111
33;168.223545; 1.682235; 1.058125; 2.411500; 2.846829
34;172.243585; 1.722435; 0.979875; 2.276000; 2.736588
35;159.711590; 1.597115; 1.050416; 2.220250; 2.854504
36;169.838494; 1.698384; 0.987166; 2.401750; 2.839448
37;182.642965; 1.826429; 1.022667; 3.308959; 3.734200
38;162.519412; 1.625194; 1.124625; 2.610375; 2.776213
39;173.850584; 1.738505; 1.193792; 2.991167; 2.972483
40;171.167997; 1.711679; 1.084000; 2.206833; 2.836174
41;173.457290; 1.734572; 1.059458; 2.238000; 2.942981
42;168.496334; 1.684963; 1.192667; 2.246208; 2.302704
43;172.530919; 1.725309; 1.182542; 2.211292; 2.425164
44;181.428291; 1.814282; 1.163917; 2.821834; 2.719466
45;173.397463; 1.733974; 0.969917; 2.549375; 2.977470
46;166.201419; 1.662014; 1.172084; 2.335000; 2.844655
47;157.030379; 1.570303; 0.978209; 2.642875; 2.593862
48;168.743920; 1.687439; 1.057209; 2.352958; 2.400332
49;172.433206; 1.724332; 1.246708; 2.268208; 1.991595
50;176.908457; 1.769084; 1.152125; 2.330625; 2.497834
51;172.954413; 1.729544; 1.108958; 2.399958; 2.712244
52;181.712875; 1.817128; 1.184792; 2.840083; 2.750482
53;181.807295; 1.818072; 1.093917; 2.741084; 3.313274
54;170.849958; 1.708499; 1.224375; 2.102292; 2.157445
55;167.470458; 1.674704; 1.188750; 2.374500; 2.069631
56;170.486706; 1.704867; 1.309209; 2.130291; 1.847856
57;175.795085; 1.757950; 1.324125; 2.335500; 2.095426
58;173.328664; 1.733286; 1.291750; 2.303459; 2.311677
59;165.463918; 1.654639; 1.212708; 2.221542; 2.319147
60;165.448126; 1.654481; 1.311125; 2.127292; 1.847536
61;170.815580; 1.708155; 1.344167; 2.636667; 2.022778
62;172.964835; 1.729648; 1.296875; 2.213042; 1.923326
