Size;Result;Duration;Mean;Median;Min;Max
0;0;6954.489086; 69.544890; 0.432834; 6899.406458; 6864.270629
1;1;4007.429125; 40.074291; 0.457250; 2556.398666; 2849.818788
2;2;3089.073172; 30.890731; 0.553834; 1591.355834; 1906.673801
3;3;2839.966875; 28.399668; 0.635500; 1064.458792; 1550.986549
4;4;2391.957572; 23.919575; 0.602750; 872.138459; 1244.219971
5;5;1436.935000; 14.369350; 0.694792; 419.011958; 619.670080
6;6;1531.388122; 15.313881; 0.744500; 759.793084; 811.431868
7;7;1309.431913; 13.094319; 0.767875; 541.742625; 672.639988
8;8;878.823539; 8.788235; 0.845125; 194.425125; 301.770883
9;9;745.807126; 7.458071; 0.887166; 137.242083; 235.336146
10;10;765.174627; 7.651746; 1.017541; 279.673458; 333.535789
11;11;545.366380; 5.453663; 1.069708; 120.022209; 156.749477
12;12;700.960972; 7.009609; 1.220875; 207.632542; 278.982125
13;13;456.074125; 4.560741; 1.241167; 64.429583; 99.086570
14;14;412.256666; 4.122566; 1.401959; 60.969167; 81.475734
15;15;472.826668; 4.728266; 1.700667; 51.350542; 91.243805
16;16;451.637798; 4.516377; 1.629917; 76.792042; 85.808947
17;17;504.321459; 5.043214; 1.869125; 138.857375; 140.347472
18;18;451.754625; 4.517546; 1.685000; 72.650375; 83.520031
19;19;429.419914; 4.294199; 2.059459; 40.281958; 56.177225
20;20;390.397541; 3.903975; 2.054833; 13.784209; 24.705263
21;21;396.397334; 3.963973; 2.171125; 34.715209; 36.104929
22;22;395.077248; 3.950772; 2.189042; 24.520792; 27.238840
23;23;407.943962; 4.079439; 2.086875; 21.280417; 28.351701
24;24;394.042256; 3.940422; 2.002417; 13.198084; 19.200119
25;25;413.980748; 4.139807; 2.110417; 15.822041; 23.849869
26;26;405.572747; 4.055727; 2.345584; 18.381708; 20.425106
27;27;399.618835; 3.996188; 2.557792; 18.984458; 19.741119
28;28;405.767832; 4.057678; 1.998833; 11.578459; 15.139368
29;29;405.130338; 4.051303; 2.149167; 11.509916; 13.998833
30;30;426.499413; 4.264994; 2.221625; 16.185125; 22.085028
31;31;414.424210; 4.144242; 2.315875; 16.184250; 17.897774
32;32;417.264373; 4.172643; 2.575167; 21.313417; 20.366587
33;33;438.879209; 4.388792; 2.431000; 15.563041; 18.958443
34;34;422.653961; 4.226539; 2.383042; 21.462500; 21.002748
35;35;428.238126; 4.282381; 1.919084; 13.790667; 15.702464
36;36;424.596964; 4.245969; 2.009917; 11.067583; 13.856549
37;37;421.457913; 4.214579; 2.318083; 9.106750; 11.631664
38;38;440.677786; 4.406777; 2.147625; 15.778042; 16.541542
39;39;439.231125; 4.392311; 2.187500; 20.835625; 20.076018
40;40;424.739545; 4.247395; 2.715750; 16.395292; 16.000468
41;41;423.994536; 4.239945; 2.440500; 11.214791; 12.790643
42;42;438.347044; 4.383470; 2.399000; 16.807625; 17.725373
43;43;431.211415; 4.312114; 2.333417; 8.750208; 10.936847
44;44;440.003457; 4.400034; 2.253000; 12.774291; 13.392827
45;45;431.072494; 4.310724; 2.574333; 13.004833; 12.828035
46;46;439.985708; 4.399857; 2.518792; 13.264708; 13.674249
47;47;436.458539; 4.364585; 2.693500; 25.553958; 23.818059
48;48;442.979579; 4.429795; 2.787208; 12.292208; 13.684018
49;49;442.888709; 4.428887; 2.566584; 23.000792; 20.599003
