Size;Result;Duration;Mean;Median;Min;Max
0;0;661.932035; 6.619320; 6.404625; 15.579583; 9.097041
1;1;647.546666; 6.475466; 6.263459; 9.318625; 3.159389
2;2;639.854248; 6.398542; 6.192416; 8.943042; 2.622676
3;3;644.103247; 6.441032; 6.260333; 8.796542; 2.725758
4;4;637.230375; 6.372303; 6.217583; 8.695083; 2.669493
5;5;630.270211; 6.302702; 5.695625; 8.379834; 3.234526
6;6;556.770043; 5.567700; 5.413334; 7.851041; 2.623699
7;7;557.833495; 5.578334; 5.141750; 7.544666; 2.480982
8;8;502.044961; 5.020449; 4.525875; 7.570334; 4.043157
9;9;487.559838; 4.875598; 4.255917; 7.143917; 5.180344
10;10;433.379549; 4.333795; 3.625166; 6.872167; 6.151755
11;11;462.228706; 4.622287; 3.868292; 6.890125; 5.052432
12;12;452.858921; 4.528589; 3.432750; 6.836459; 6.620845
13;13;440.799709; 4.407997; 3.287667; 6.437583; 6.325928
14;14;416.784293; 4.167842; 3.142875; 6.333791; 7.643441
15;15;437.475539; 4.374755; 2.879000; 6.385000; 8.668109
16;16;424.127205; 4.241272; 3.182333; 6.519083; 7.852668
17;17;471.138667; 4.711386; 2.891000; 6.573500; 8.350189
18;18;436.372210; 4.363722; 2.524875; 6.395042; 8.556307
19;19;443.744092; 4.437440; 3.288042; 6.444375; 7.334507
20;20;440.838996; 4.408389; 2.978792; 6.822000; 8.318877
21;21;454.860874; 4.548608; 2.888583; 6.523708; 8.212371
22;22;429.860255; 4.298602; 3.152458; 6.381625; 8.778650
23;23;463.847338; 4.638473; 3.071084; 6.164292; 7.816179
24;24;432.381502; 4.323815; 3.160417; 6.602625; 8.329378
25;25;446.427709; 4.464277; 3.168334; 6.229166; 9.391011
26;26;456.541545; 4.565415; 2.696292; 6.591458; 8.046618
27;27;457.464842; 4.574648; 2.941916; 6.162167; 7.984350
28;28;430.768039; 4.307680; 3.186416; 5.976209; 8.312198
29;29;454.387627; 4.543876; 3.132084; 6.102875; 7.961947
30;30;447.335832; 4.473358; 2.989250; 5.998083; 7.974749
31;31;478.483164; 4.784831; 3.470167; 6.183250; 6.861951
32;32;451.058076; 4.510580; 3.106792; 6.043375; 7.622296
33;33;459.582249; 4.595822; 2.820083; 6.398042; 8.457827
34;34;466.207133; 4.662071; 2.567000; 5.973750; 7.139605
35;35;476.713624; 4.767136; 3.276667; 6.128209; 6.367789
36;36;465.132126; 4.651321; 2.764833; 6.200666; 8.268380
37;37;462.985580; 4.629855; 3.124333; 6.193041; 7.233071
38;38;476.276083; 4.762760; 2.500959; 6.103875; 8.095095
39;39;482.980252; 4.829802; 2.974583; 6.108208; 7.429959
40;40;480.563794; 4.805637; 3.289875; 5.957167; 6.451549
41;41;479.170301; 4.791703; 2.753750; 6.347209; 8.507019
42;42;483.361248; 4.833612; 2.886458; 6.293958; 7.370471
43;43;480.198753; 4.801987; 3.184333; 6.138167; 6.914921
44;44;483.392370; 4.833923; 2.795875; 5.998708; 6.930859
45;45;504.009626; 5.040096; 3.178417; 6.647834; 6.845104
46;46;474.171501; 4.741715; 3.434375; 6.112459; 6.505439
47;47;491.209090; 4.912090; 2.541875; 6.753875; 8.332597
48;48;484.039871; 4.840398; 3.139750; 5.975833; 6.466093
49;49;489.330123; 4.893301; 2.700125; 6.205333; 7.134904
