Size;Result;Duration;Mean;Median;Min;Max
0;0;828.837500; 8.288375; 8.175500; 13.058667; 5.039443
1;1;821.473206; 8.214732; 8.037041; 12.336916; 4.317707
2;2;686.427662; 6.864276; 6.688625; 10.798125; 4.135683
3;3;717.303995; 7.173039; 7.017792; 10.910250; 4.087330
4;4;703.038458; 7.030384; 6.734666; 10.117375; 3.326375
5;5;736.874703; 7.368747; 7.063916; 10.364292; 3.340355
6;6;709.457544; 7.094575; 6.816083; 9.873500; 3.113674
7;7;714.420704; 7.144207; 6.580541; 9.687958; 3.548758
8;8;669.282916; 6.692829; 6.150875; 9.994708; 4.289395
9;9;628.490540; 6.284905; 5.293042; 9.241708; 6.212446
10;10;545.681333; 5.456813; 4.756000; 8.898291; 8.033036
11;11;596.367338; 5.963673; 4.995042; 9.003041; 6.955221
12;12;542.492960; 5.424929; 4.210209; 8.479333; 8.335214
13;13;581.410203; 5.814102; 4.399042; 9.140666; 8.651580
14;14;553.843753; 5.538437; 3.992500; 8.489708; 9.419943
15;15;613.278009; 6.132780; 4.035667; 8.678209; 8.686011
16;16;505.745455; 5.057454; 3.970959; 7.994208; 9.995014
17;17;547.704452; 5.477044; 4.297500; 8.593416; 10.286306
18;18;597.519706; 5.975197; 3.200458; 8.271125; 9.505003
19;19;545.615218; 5.456152; 3.805625; 8.235542; 11.937557
20;20;538.719665; 5.387196; 4.199333; 8.673167; 10.342162
21;21;579.796873; 5.797968; 4.105917; 10.309917; 11.462554
22;22;556.608794; 5.566087; 3.913208; 8.125208; 11.907672
23;23;570.818206; 5.708182; 3.785042; 8.592667; 10.458605
24;24;588.874791; 5.888747; 3.205042; 8.677625; 10.936368
25;25;612.310867; 6.123108; 3.983916; 7.980584; 9.892285
26;26;581.948325; 5.819483; 3.884625; 7.995916; 9.818392
27;27;613.974457; 6.139744; 3.502333; 8.125166; 11.060897
28;28;611.410996; 6.114109; 3.542083; 8.187375; 10.149243
29;29;607.223424; 6.072234; 4.318250; 8.006250; 8.857577
30;30;605.306999; 6.053069; 3.868125; 8.090708; 9.184127
31;31;616.202543; 6.162025; 3.659333; 8.999167; 10.828937
32;32;777.405795; 7.774057; 3.744250; 74.241875; 86.686706
33;33;818.479593; 8.184795; 3.916959; 46.343083; 66.323855
34;34;934.574869; 9.345748; 3.402792; 103.128167; 107.237575
35;35;614.811085; 6.148110; 3.134417; 8.071000; 10.838379
36;36;600.237327; 6.002373; 3.491584; 7.841916; 9.805506
37;37;686.401376; 6.864013; 4.332500; 14.841167; 14.494434
38;38;699.271665; 6.992716; 3.751916; 22.912000; 27.688702
39;39;626.375877; 6.263758; 3.437333; 8.166417; 9.889141
40;40;625.435083; 6.254350; 3.936959; 8.080875; 9.113931
41;41;1002.616077; 10.026160; 4.579459; 55.066417; 62.363945
42;42;1023.167876; 10.231678; 4.406458; 21.670750; 34.238655
43;43;985.041122; 9.850411; 3.806833; 19.037833; 28.933405
44;44;1373.135084; 13.731350; 5.003917; 73.346416; 103.124121
45;45;956.295791; 9.562957; 4.394333; 22.979250; 37.400768
46;46;900.790374; 9.007903; 4.070125; 25.039042; 40.486677
47;47;688.889507; 6.888895; 3.867625; 14.081291; 19.184483
48;48;650.255957; 6.502559; 4.201167; 7.855333; 8.045093
49;49;646.328960; 6.463289; 3.542625; 8.530791; 10.750859
