Size; Duration;Mean;Median;Min;Max
0;2023.337753; 20.233377; 0.334000; 1990.089000; 1979.779391
1;2035.645254; 20.356452; 0.359125; 1588.046291; 1620.668770
2;1165.950916; 11.659509; 0.370458; 639.890375; 720.046871
3;1300.534623; 13.005346; 0.450250; 575.915083; 783.366396
4;959.011039; 9.590110; 0.484792; 412.567167; 495.305021
5;749.196917; 7.491969; 0.485875; 208.843291; 319.492968
6;602.043251; 6.020432; 0.492542; 178.800334; 242.143598
7;456.330959; 4.563309; 0.588500; 125.746292; 176.000944
8;432.728419; 4.327284; 0.579000; 110.580625; 159.573820
9;369.919791; 3.699197; 0.694084; 126.720375; 140.430871
10;306.589040; 3.065890; 0.672416; 61.694375; 85.804613
11;235.827751; 2.358277; 0.711000; 32.666625; 53.819618
12;257.616831; 2.576168; 0.791084; 43.246292; 57.199422
13;268.335752; 2.683357; 0.944417; 50.938917; 57.709314
14;230.601410; 2.306014; 1.064042; 27.129291; 36.950789
15;244.484171; 2.444841; 1.037000; 17.504625; 27.181875
16;237.242749; 2.372427; 1.132625; 13.403666; 19.195732
17;255.066747; 2.550667; 1.417791; 12.307417; 20.983451
18;235.209546; 2.352095; 1.395125; 6.920750; 11.187010
19;259.013291; 2.590132; 1.429000; 13.102625; 16.876211
20;255.042792; 2.550427; 1.484917; 11.587000; 13.761251
21;264.389378; 2.643893; 1.386167; 8.863791; 12.826337
22;248.606831; 2.486068; 1.599375; 6.551125; 9.288783
23;260.327666; 2.603276; 1.512417; 8.517083; 10.441638
24;276.562951; 2.765629; 1.523917; 14.647250; 18.872852
25;277.778541; 2.777785; 1.496708; 11.008583; 14.050562
26;260.783215; 2.607832; 1.660875; 4.607042; 6.745648
27;266.691291; 2.666912; 1.721541; 8.010584; 8.556612
28;274.166797; 2.741667; 1.592959; 7.162791; 8.799932
29;282.812039; 2.828120; 1.600791; 16.711375; 15.775706
30;283.057872; 2.830578; 1.923458; 17.231333; 16.566073
31;280.310540; 2.803105; 1.525875; 5.964375; 8.234534
32;286.526084; 2.865260; 1.661833; 8.452333; 10.265142
33;283.097500; 2.830975; 1.706417; 7.402750; 8.487166
34;289.019002; 2.890190; 1.658166; 6.358542; 8.006179
35;297.135584; 2.971355; 1.616750; 7.866292; 9.566223
36;290.168667; 2.901686; 1.615167; 6.598000; 8.493946
37;287.619495; 2.876194; 1.992458; 5.320167; 6.061593
38;293.185459; 2.931854; 1.635750; 7.521334; 8.679847
39;299.594875; 2.995948; 2.096708; 36.539042; 34.030130
40;296.148042; 2.961480; 1.511875; 7.137084; 8.212049
41;302.968583; 3.029685; 1.689584; 12.329125; 11.742167
42;292.058084; 2.920580; 1.634000; 4.778208; 5.681367
43;293.580496; 2.935804; 2.040791; 8.000791; 6.649899
44;298.140250; 2.981402; 1.944042; 8.330209; 7.767761
45;303.665166; 3.036651; 1.582209; 7.791417; 9.033283
46;298.444588; 2.984445; 1.808250; 9.448792; 8.467018
47;303.658536; 3.036585; 1.746583; 6.806584; 7.125946
48;300.452329; 3.004523; 1.936958; 6.623667; 6.415194
49;302.847919; 3.028479; 1.900250; 5.149042; 5.617339
50;305.420876; 3.054208; 1.899333; 7.150584; 6.372108
51;329.367206; 3.293672; 2.030167; 45.371417; 42.578459
52;300.221586; 3.002215; 1.870209; 10.576708; 9.217741
53;304.734917; 3.047349; 1.855625; 6.770583; 6.793570
54;304.730206; 3.047302; 1.792750; 6.269125; 6.004056
55;311.922249; 3.119222; 1.831917; 10.957750; 10.183127
56;308.190040; 3.081900; 2.010417; 13.192833; 11.400779
57;308.485291; 3.084852; 2.124291; 6.702958; 6.942408
58;307.291460; 3.072914; 2.054833; 7.385500; 8.578255
59;307.291957; 3.072919; 2.098375; 5.391375; 5.123093
60;305.573878; 3.055738; 2.047708; 6.284541; 5.463790
61;307.378958; 3.073789; 2.232875; 5.604250; 5.178620
62;306.758375; 3.067583; 2.113416; 7.127375; 6.478818
63;309.689921; 3.096899; 2.058291; 5.838583; 5.243390
64;310.860866; 3.108608; 1.764125; 10.813583; 9.187878
65;312.899543; 3.128995; 1.980792; 10.245917; 9.042993
66;307.625669; 3.076256; 2.290083; 4.693250; 3.970828
67;314.393752; 3.143937; 2.058792; 12.914000; 11.220314
68;311.647121; 3.116471; 2.110125; 12.619708; 10.658071
69;310.377457; 3.103774; 2.319833; 5.132209; 4.323764
70;306.090463; 3.060904; 2.298959; 4.039083; 3.702474
71;312.245790; 3.122457; 2.066167; 6.521625; 5.692899
72;305.617416; 3.056174; 2.263583; 4.696542; 3.588396
73;311.121416; 3.111214; 2.244583; 6.191500; 5.343596
74;308.341743; 3.083417; 2.364542; 4.120625; 3.442263
75;313.335586; 3.133355; 2.370583; 4.606875; 4.025393
76;309.205537; 3.092055; 2.336334; 4.709459; 4.221873
77;313.319257; 3.133192; 2.252167; 6.388458; 4.974640
78;313.934670; 3.139346; 2.205333; 7.987167; 7.338005
79;320.057536; 3.200575; 2.331792; 5.233041; 5.152407
80;308.530503; 3.085305; 2.508875; 5.416250; 3.832647
81;312.360046; 3.123600; 2.263417; 5.519625; 4.170942
82;313.784249; 3.137842; 2.357958; 7.383083; 5.797913
83;310.770208; 3.107702; 2.607250; 5.090166; 3.787173
84;324.284046; 3.242840; 1.601375; 23.629375; 20.995014
85;307.257375; 3.072573; 2.558584; 4.882583; 3.201030
86;310.823667; 3.108236; 2.238458; 5.705708; 5.043099
87;309.393288; 3.093932; 2.317916; 6.345584; 4.377364
88;309.770876; 3.097708; 2.559583; 4.422875; 3.072201
89;311.406333; 3.114063; 2.332500; 4.986917; 3.825679
90;308.354465; 3.083544; 2.630917; 5.280625; 3.452776
91;315.204544; 3.152045; 2.296875; 6.620375; 4.974491
92;310.620545; 3.106205; 2.597083; 5.803792; 4.231468
93;314.394668; 3.143946; 2.319500; 6.925750; 5.651892
94;312.761712; 3.127617; 2.282084; 6.142000; 4.927228
95;311.064287; 3.110642; 2.664834; 4.220375; 3.025973
96;309.874120; 3.098741; 2.597458; 4.065583; 3.028602
97;309.319209; 3.093192; 2.534000; 3.794458; 2.614417
98;313.647293; 3.136472; 2.440166; 5.549084; 4.472455
99;310.629421; 3.106294; 2.661416; 6.481834; 4.115890
