Size;Result;Duration;Mean;Median;Min;Max
0;0;1078.980962; 10.789809; 10.660750; 16.644208; 5.992793
1;1;1072.946372; 10.729463; 10.288791; 16.099458; 5.767956
2;2;886.107501; 8.861075; 8.645500; 14.277583; 5.767932
3;3;919.070211; 9.190702; 8.970667; 14.192875; 5.395233
4;4;900.969911; 9.009699; 8.830125; 13.524541; 4.920162
5;5;946.205959; 9.462059; 9.116958; 13.604542; 4.527916
6;6;913.711459; 9.137114; 8.888666; 12.672083; 3.915368
7;7;933.784708; 9.337847; 8.936167; 12.558458; 3.688115
8;8;883.674288; 8.836742; 8.480167; 12.429583; 4.388645
9;9;824.628162; 8.246281; 7.571083; 12.411000; 7.472098
10;10;831.970251; 8.319702; 6.050708; 11.715417; 7.544980
11;11;719.084663; 7.190846; 6.287041; 12.033750; 9.733268
12;12;692.151960; 6.921519; 5.672875; 10.978250; 10.441936
13;13;704.509956; 7.045099; 5.731333; 11.372458; 12.333972
14;14;725.553587; 7.255535; 5.502417; 11.094416; 11.517430
15;15;736.702545; 7.367025; 5.728125; 10.919833; 11.972683
16;16;687.898672; 6.878986; 5.131416; 10.528834; 13.265115
17;17;779.537960; 7.795379; 5.409250; 10.805875; 11.074836
18;18;712.825291; 7.128252; 5.334334; 10.736375; 13.349597
19;19;744.372919; 7.443729; 5.836916; 10.863000; 11.030583
20;20;765.945538; 7.659455; 4.953875; 11.225209; 13.190010
21;21;768.896335; 7.688963; 4.654417; 11.712875; 14.575893
22;22;778.075503; 7.780755; 4.444375; 10.854583; 13.206110
23;23;761.009710; 7.610097; 4.657125; 10.408166; 13.672104
24;24;769.245125; 7.692451; 4.477500; 10.094000; 13.534771
25;25;807.082545; 8.070825; 4.671500; 11.797042; 13.947434
26;26;756.837002; 7.568370; 4.855084; 10.044833; 13.786787
27;27;806.864006; 8.068640; 4.421959; 10.429583; 12.956089
28;28;766.905165; 7.669051; 5.115375; 10.331667; 14.057695
29;29;788.722087; 7.887220; 4.648625; 10.000042; 11.974423
30;30;777.798758; 7.777987; 5.159250; 10.414041; 12.941162
31;31;803.106750; 8.031067; 3.709250; 10.395083; 15.418130
32;32;793.028169; 7.930281; 5.284125; 10.379666; 12.150523
33;33;810.312749; 8.103127; 4.896459; 10.340375; 13.226235
34;34;811.486747; 8.114867; 3.838666; 10.138625; 13.415824
35;35;822.231918; 8.222319; 4.709000; 10.516000; 13.716751
36;36;808.849257; 8.088492; 4.198125; 10.081542; 12.580954
37;37;810.924089; 8.109240; 4.297375; 10.429792; 12.535271
38;38;815.098045; 8.150980; 3.932042; 10.427833; 13.284853
39;39;799.907962; 7.999079; 5.379459; 11.257833; 13.755040
40;40;816.547919; 8.165479; 4.610208; 10.393459; 11.536156
41;41;815.081997; 8.150819; 4.486000; 10.155417; 14.235820
42;42;805.444416; 8.054444; 4.515959; 10.602416; 12.960309
43;43;793.456838; 7.934568; 5.535416; 11.707666; 12.168224
44;44;811.067338; 8.110673; 4.624459; 10.666666; 12.458620
45;45;813.631585; 8.136315; 5.523833; 10.006792; 10.431771
46;46;819.555370; 8.195553; 5.073625; 10.662083; 11.008639
47;47;815.641287; 8.156412; 4.696708; 10.763791; 11.996445
48;48;822.477878; 8.224778; 4.225250; 10.488750; 11.856866
49;49;822.202163; 8.222021; 4.365666; 10.772875; 15.986884
