Size; Duration;Mean;Median;Min;Max
114000;272.531922;2.725319;2.632250;6.756084;4.244211
115000;274.316668;2.743166;2.639458;6.777750;4.320065
116000;277.163375;2.771633;2.683583;6.880042;4.315956
117000;281.106662;2.811066;2.703625;6.964375;4.368791
118000;280.434424;2.804344;2.723917;7.054833;4.492013
119000;282.256584;2.822565;2.735584;7.135083;4.505762
120000;287.213423;2.872134;2.777000;7.106958;4.448850
121000;288.676167;2.886761;2.799375;7.180583;4.496101
122000;289.685995;2.896859;2.809083;7.255084;4.550448
123000;290.805965;2.908059;2.813916;7.277125;4.574118
124000;294.569418;2.945694;2.856459;7.395042;4.641107
125000;295.401172;2.954011;2.875125;7.414125;4.649595
126000;297.781790;2.977817;2.886792;7.563917;4.780084
127000;298.116003;2.981160;2.894250;7.499917;4.704558
128000;300.740081;3.007400;2.923291;7.520917;4.704316
129000;309.102584;3.091025;2.952000;7.574042;4.721068
130000;305.795458;3.057954;2.967875;7.696541;4.823603
131000;306.021667;3.060216;2.965333;7.720083;4.857788
132000;312.381547;3.123815;3.023583;7.773417;4.975826
133000;314.915005;3.149150;3.061458;7.896291;4.935128
134000;318.469957;3.184699;3.088583;7.946083;4.978509
135000;319.590167;3.195901;3.106709;8.006083;5.004913
136000;325.874922;3.258749;3.147625;8.315333;5.312896
137000;329.425008;3.294250;3.194375;8.205500;5.119773
138000;332.451590;3.324515;3.223250;8.276708;5.158148
139000;333.534004;3.335340;3.239375;8.314958;5.183514
140000;338.217966;3.382179;3.270500;8.368000;5.198793
141000;342.837833;3.428378;3.322125;8.426791;5.223001
142000;344.814911;3.448149;3.342959;8.513500;5.280577
143000;347.520665;3.475206;3.363292;8.590167;5.353211
144000;352.863996;3.528639;3.374875;8.683458;5.408651
145000;353.456126;3.534561;3.427250;8.708917;5.418782
146000;357.529795;3.575297;3.457834;8.864708;5.565204
147000;360.075953;3.600759;3.475459;8.842459;5.488024
148000;360.744916;3.607449;3.505375;8.893666;5.528164
149000;367.776252;3.677762;3.562167;8.994500;5.561492
150000;368.587874;3.685878;3.581959;9.071125;5.638634
151000;372.170791;3.721707;3.606125;9.121625;5.652178
152000;374.565536;3.745655;3.626458;9.219000;5.738975
153000;378.754040;3.787540;3.672459;9.323542;5.796303
154000;380.849254;3.808492;3.693583;9.466292;5.928062
155000;382.626503;3.826265;3.706417;9.464500;5.901976
156000;382.866746;3.828667;3.716542;9.567334;6.014658
157000;393.478082;3.934780;3.770667;9.631583;5.991099
158000;392.514838;3.925148;3.797208;10.288750;6.731817
159000;396.274466;3.962744;3.812250;9.886417;6.210063
160000;395.831916;3.958319;3.821916;9.774416;6.098074
161000;398.459708;3.984597;3.864750;9.859458;6.171777
162000;402.125289;4.021252;3.894834;9.926958;6.189404
163000;410.808129;4.108081;3.919667;9.920250;6.092545
164000;406.718129;4.067181;3.919166;10.310000;6.599899
165000;410.073794;4.100737;3.981708;10.115667;6.327562
166000;417.778539;4.177785;4.018208;10.152458;6.295242
167000;418.084547;4.180845;4.040000;11.006083;7.194869
168000;418.341083;4.183410;4.057041;10.308042;6.439947
169000;427.591872;4.275918;4.100209;10.438458;6.516842
170000;429.025211;4.290252;4.142084;10.552750;6.592680
171000;430.446836;4.304468;4.152750;10.641791;6.673830
172000;429.469496;4.294694;4.156209;10.618250;6.663208
173000;433.832000;4.338320;4.205334;10.798167;6.791435
174000;438.772129;4.387721;4.245333;10.846625;6.874902
175000;439.277999;4.392779;4.252416;10.935000;6.890123
176000;441.592622;4.415926;4.261125;10.935041;6.873467
177000;443.901708;4.439017;4.293333;11.006666;6.935819
178000;448.244668;4.482446;4.329375;11.030625;6.897738
179000;449.990749;4.499907;4.351125;11.094500;6.962676
180000;454.131242;4.541312;4.342834;11.144292;6.995188
181000;454.258375;4.542583;4.401500;11.196875;7.012437
182000;463.147584;4.631475;4.450833;11.357666;7.204649
183000;461.317000;4.613170;4.474083;11.433417;7.187340
184000;463.874330;4.638743;4.496875;11.454084;7.214616
185000;468.736043;4.687360;4.525375;11.634584;7.358903
186000;473.942456;4.739424;4.571375;11.710791;7.357274
187000;476.821834;4.768218;4.599542;11.704125;7.320769
188000;477.877041;4.778770;4.633583;11.829167;7.552117
189000;479.127333;4.791273;4.636750;11.803375;7.420884
190000;482.599126;4.825991;4.664125;11.915541;7.485828
191000;490.502744;4.905027;4.700792;12.003708;7.543067
192000;486.167751;4.861677;4.686209;12.074125;7.634242
193000;485.095006;4.850950;4.693000;12.053917;7.616181
194000;486.237583;4.862375;4.717958;12.145375;7.689207
195000;489.543754;4.895437;4.735292;12.236083;7.761156
196000;493.225462;4.932254;4.757750;12.275000;7.766303
197000;490.484124;4.904841;4.761292;12.362417;7.877472
198000;499.766124;4.997661;4.837375;12.511250;7.931210
199000;502.476750;5.024767;4.863375;12.470333;7.886283
200000;508.400005;5.084000;4.894083;12.524584;7.827239
201000;512.459256;5.124592;4.905959;13.189709;8.604949
202000;512.504714;5.125047;4.955584;13.163041;8.525152
203000;514.495666;5.144956;4.990375;12.812125;8.084781
204000;519.074248;5.190742;5.013125;12.873916;8.110621
205000;521.932494;5.219324;5.034750;12.900958;8.099356
