Size; Duration;Mean;Median;Min;Max
1000;4.039759;0.040397;0.034125;0.484042;0.448276
2000;7.403538;0.074035;0.070708;0.150458;0.080934
3000;11.238331;0.112383;0.108916;0.251666;0.142256
4000;15.042624;0.150426;0.146375;0.314917;0.166177
5000;18.274372;0.182743;0.141250;0.387833;0.261721
6000;18.067296;0.180672;0.164375;0.462334;0.295451
7000;20.832744;0.208327;0.196125;0.531041;0.330885
8000;24.502504;0.245025;0.225500;0.799500;0.682005
9000;27.657672;0.276576;0.261000;0.718875;0.451676
10000;31.407122;0.314071;0.298333;0.785458;0.478764
11000;35.690461;0.356904;0.332167;0.895041;0.757780
12000;38.045342;0.380453;0.362583;0.966917;0.594154
13000;41.797044;0.417970;0.390083;1.069917;0.660238
14000;46.442504;0.464425;0.422417;1.167917;0.877935
15000;48.961124;0.489611;0.464916;1.260625;0.779140
16000;52.136671;0.521366;0.493500;1.353541;0.839869
17000;57.442873;0.574428;0.531833;1.433916;1.045609
18000;59.694124;0.596941;0.562458;1.563500;0.984760
19000;63.622126;0.636221;0.593584;1.589250;1.104666
20000;66.428710;0.664287;0.628042;1.688958;1.039152
21000;71.360875;0.713608;0.672583;1.793416;1.198513
22000;75.082374;0.750823;0.706458;1.918166;1.288806
23000;77.263377;0.772633;0.727125;1.991125;1.238161
24000;80.335417;0.803354;0.761542;2.069041;1.397111
25000;84.943294;0.849432;0.782667;2.154375;1.517757
26000;85.855497;0.858554;0.818417;2.321542;1.483169
27000;90.357334;0.903573;0.858958;2.313375;1.528028
28000;97.096371;0.970963;0.873458;2.386667;1.653726
29000;96.641797;0.966417;0.911625;2.469500;1.601039
30000;100.936244;1.009362;0.952458;2.626416;1.722800
31000;107.348956;1.073489;0.975583;3.175959;2.256950
32000;107.108413;1.071084;1.021084;2.821959;1.858839
33000;111.173130;1.111731;1.054917;2.944416;1.858920
34000;117.188578;1.171885;1.115875;3.085541;1.995503
35000;119.868588;1.198685;1.141333;3.111250;1.988597
36000;123.661631;1.236616;1.183042;3.200583;2.099163
37000;134.935873;1.349358;1.213750;3.338625;3.186850
38000;147.983711;1.479837;1.250625;3.454083;4.107628
39000;139.932206;1.399322;1.275292;3.521625;3.080455
40000;140.208050;1.402080;1.337750;3.615500;2.304874
41000;159.829839;1.598298;1.409917;5.815792;5.649172
42000;160.499717;1.604997;1.435875;4.317542;4.626455
43000;155.063341;1.550633;1.464375;3.954500;2.731037
44000;157.293540;1.572935;1.500208;4.032125;2.540895
45000;167.386367;1.673863;1.509083;8.239125;7.188835
46000;161.607797;1.616077;1.542000;4.198083;2.693136
47000;164.817414;1.648174;1.586208;4.316708;2.734051
48000;168.785499;1.687854;1.603333;4.386125;2.817087
49000;187.244366;1.872443;1.632583;4.965708;5.798583
50000;175.334251;1.753342;1.654916;4.889583;3.220968
51000;181.720458;1.817204;1.702541;4.762833;3.067419
52000;184.432293;1.844322;1.761750;4.822875;3.063898
53000;187.174503;1.871745;1.780500;5.544584;3.740136
54000;192.822244;1.928222;1.839791;4.970917;3.146576
55000;196.831744;1.968317;1.895583;5.098416;3.204424
56000;200.098455;2.000984;1.904000;5.176667;3.297136
57000;208.365666;2.083656;1.949584;5.286000;3.542862
58000;219.873164;2.198731;1.994875;5.512583;4.775876
59000;217.432457;2.174324;2.041084;5.586792;4.259624
60000;214.652090;2.146520;2.054625;5.599458;3.539966
61000;223.307418;2.233074;2.068625;5.651917;4.230890
62000;221.908791;2.219087;2.109625;5.893250;3.774655
63000;231.605365;2.316053;2.152750;5.947417;3.942171
64000;257.860126;2.578601;2.196459;6.344834;7.101468
65000;239.085796;2.390857;2.228958;6.109625;4.226808
66000;238.511836;2.385118;2.280666;6.364834;4.075961
67000;252.763874;2.527638;2.334667;7.297625;6.437943
68000;250.169296;2.501692;2.385750;6.543375;4.230391
69000;253.099581;2.530995;2.383625;6.478917;5.064364
70000;251.264881;2.512648;2.411000;6.565750;4.152670
71000;280.135877;2.801358;2.448542;12.676833;13.749888
72000;259.629084;2.596290;2.476833;6.794916;4.282869
73000;262.579749;2.625797;2.486542;6.887500;4.385714
74000;265.351423;2.653514;2.551250;7.024291;4.470371
75000;269.521543;2.695215;2.606250;7.053083;4.467306
76000;274.153835;2.741538;2.636834;7.154042;4.571757
77000;273.889665;2.738896;2.627708;7.231209;4.580751
78000;278.501501;2.785015;2.641792;7.319000;4.635553
79000;285.967755;2.859677;2.749166;7.491917;4.760182
80000;290.603245;2.906032;2.803250;7.619166;4.795539
81000;293.563997;2.935639;2.827833;7.676833;4.854368
82000;296.444631;2.964446;2.865291;7.756875;4.875962
83000;302.762296;3.027622;2.927250;7.915917;4.988853
84000;309.344756;3.093447;2.971417;8.070667;5.068478
85000;313.320461;3.133204;2.986042;8.467750;5.446306
86000;314.873583;3.148735;3.024959;8.221542;5.185890
87000;320.534500;3.205345;3.089500;8.334292;5.226310
88000;323.560130;3.235601;3.115292;8.414250;5.289645
89000;329.697453;3.296974;3.118958;8.579833;5.476787
90000;330.100503;3.301005;3.156375;8.771084;5.565111
91000;337.328996;3.373289;3.199875;9.221291;6.176891
92000;335.000704;3.350007;3.205833;8.881708;5.688490
93000;339.380955;3.393809;3.233250;8.952375;5.741846
94000;342.997963;3.429979;3.240917;9.088750;5.885043
95000;346.662047;3.466620;3.310792;9.087166;5.811448
96000;345.549747;3.455497;3.324083;9.178583;5.841327
97000;349.330044;3.493300;3.364250;9.287334;5.898222
98000;353.955333;3.539553;3.407000;9.398500;5.984062
99000;362.929999;3.629299;3.412833;9.865917;6.509160
100000;361.278959;3.612789;3.465750;9.689167;6.184025
101000;364.388173;3.643881;3.522416;9.735917;6.183964
